Fox_ID,Year,Julian_day,Distance_traveled,Prop_active
926009,2018,191,62924.6004992246,0.669936708860759
926009,2018,192,60064.6672832386,0.644303797468354
926009,2018,193,62720.0604555893,0.730914826498423
926009,2018,194,46801.3620927041,0.500630914826498
926009,2018,195,57411.7691886255,0.654430379746835
926023,2019,173,28571.2344749234,0.418589743589744
926023,2019,174,32983.5505168005,0.405079365079365
926023,2019,175,27628.2977401763,0.432165605095541
926023,2019,176,40832.0588253071,0.480757097791798
926023,2019,177,25666.6184094953,0.323028391167192
926023,2019,178,31591.0203705968,0.419242902208202
926023,2019,179,37677.4545204979,0.469108280254777
926023,2019,180,37012.6276740557,0.541640378548896
926023,2019,181,43608.0046660392,0.544794952681388
926023,2019,182,48144.1291436455,0.5198738170347
926023,2019,183,44951.191758886,0.507547169811321
926023,2019,184,46138.8504344737,0.499684542586751
926023,2019,185,44021.4831817324,0.44873417721519
926023,2019,186,36055.6568305107,0.416666666666667
926023,2019,187,40579.9728157024,0.466561514195584
926023,2019,188,45675.4247571204,0.511075949367089
926023,2019,189,41519.3494253137,0.542586750788643
926023,2019,190,40964.0445828704,0.515457413249211
926023,2019,191,38815.1898003174,0.578930817610063
926023,2019,192,50010.3930033448,0.575078864353312
926023,2019,193,47532.2347416118,0.564984227129338
926023,2019,194,40124.9478898973,0.519558359621451
926023,2019,195,44654.1756338605,0.489240506329114
926025,2019,195,42724.3697651383,0.488607594936709
926024,2019,176,25386.6060788442,0.374920634920635
926024,2019,178,24303.9776170933,0.404430379746835
926024,2019,179,10710.849445894,0.153627760252366
926024,2019,180,21710.9929048512,0.423101265822785
926024,2019,181,23810.6627734686,0.500630914826498
926024,2019,182,27491.4735533461,0.493929712460064
926024,2019,184,31405.8083508678,0.485759493670886
926024,2019,185,32250.1886634592,0.433546325878594
926024,2019,187,19120.573674059,0.398148148148148
926016,2019,168,30428.4427052698,0.436245954692557
926016,2019,169,43470.1618754366,0.529392971246006
926016,2019,170,52125.8814467987,0.51968253968254
926016,2019,171,40698.2836131116,0.498412698412698
926016,2019,172,45111.9097248518,0.566455696202532
926016,2019,173,45839.1048556524,0.536190476190476
926016,2019,174,33968.2184716675,0.450949367088608
926016,2019,175,40871.7533327823,0.468354430379747
926016,2019,176,52405.2672355488,0.583809523809524
926019,2019,171,19395.586057541,0.287378640776699
926019,2019,172,21603.9125032957,0.289677419354839
926019,2019,173,22392.2199132985,0.286538461538461
926019,2019,174,16789.0070379062,0.231612903225806
926019,2019,175,16540.7265423684,0.238064516129032
926019,2019,176,23482.359541447,0.357371794871795
926019,2019,177,9483.57718508886,0.196784565916399
926019,2019,178,24853.7237103378,0.342948717948718
926019,2019,179,23106.6173779783,0.339677419354839
926019,2019,180,26023.4054429847,0.327652733118971
926019,2019,181,20075.1326763955,0.3
926011,2019,166,12695.9621425732,0.207232704402516
926011,2019,167,13301.6076024462,0.225552050473186
926011,2019,168,16896.746836213,0.292721518987342
926011,2019,169,16941.5563055839,0.306289308176101
926011,2019,170,21270.3398520422,0.374050632911392
926011,2019,171,27683.8885285982,0.457413249211356
926011,2019,172,27890.4658377398,0.425236593059937
926011,2019,173,19264.0786949552,0.440634920634921
926011,2019,174,29721.7170734423,0.450788643533123
926011,2019,175,26670.5948320145,0.408945686900958
926011,2019,176,36905.7071662527,0.458675078864353
926011,2019,177,28223.1303412039,0.430283911671924
926011,2019,178,26925.371308497,0.383279742765273
926011,2019,179,25588.077242814,0.347936507936508
926011,2019,180,28934.1353263267,0.44968152866242
926011,2019,191,18851.7382918838,0.288993710691824
926011,2019,192,20082.6594701676,0.290536277602524
926015,2019,171,29270.1931178746,0.388958990536278
926015,2019,172,33809.9017420532,0.425236593059937
926015,2019,173,32637.3942032094,0.380757097791798
926015,2019,174,25232.0833402923,0.374050632911392
926015,2019,175,43313.1137175518,0.420504731861199
926015,2019,176,35434.2777273913,0.408201892744479
926015,2019,177,39502.8359493906,0.47246835443038
926015,2019,178,34164.0276688385,0.514012738853503
926015,2019,179,35272.461620249,0.373186119873817
926015,2019,180,36063.556603062,0.348888888888889
926015,2019,181,40735.3901314052,0.397058823529412
926021,2019,173,9877.15451097741,0.189354838709677
926021,2019,174,18585.4956115894,0.354368932038835
926021,2019,175,18075.1538262559,0.335369774919614
926021,2019,176,31482.4800118054,0.506962025316456
926021,2019,177,40466.1958947339,0.541324921135647
926021,2019,178,37276.1087840198,0.614649681528662
926021,2019,179,32606.8916955985,0.500946372239748
926021,2019,180,34337.3206506044,0.520253164556962
926021,2019,181,32086.3384404378,0.522082018927445
926021,2019,182,33558.5100893679,0.44006309148265
926021,2019,183,20485.7161785226,0.405379746835443
926021,2019,184,22832.4479416149,0.420886075949367
926021,2019,185,23935.408936076,0.485443037974684
926021,2019,186,23160.7217964765,0.524290220820189
926021,2019,187,23964.4978539757,0.531329113924051
926021,2019,188,26612.2506016376,0.532278481012658
926021,2019,189,28794.8689238113,0.563809523809524
926021,2019,190,24506.928526472,0.515189873417722
926021,2019,192,27763.2874399799,0.561708860759494
926021,2019,193,21899.8675127283,0.456012658227848
926021,2019,194,22547.2563722376,0.39873417721519
