Year,Farm,YearFarmNB,wing,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2008,1,2008_01_04,54.67,-0.028402518,ASY,0.508494588,-0.448093727,-0.8088014,-0.571802352,-0.221536261,2.320150972,0.903748429
2007,1,2007_01_04,47.72,0.906903009,ASY,1.743290377,-1.301561915,-0.414589121,-0.571802352,-0.518903525,1.360847608,0.080689682
2009,1,2009_01_04,58.34,-1.899013571,SY,0.35770003,1.067548056,1.359366133,-0.571802352,1.796582028,1.850624492,0.517754245
2014,1,2014_01_04,51.48,-0.028402518,ASY,-0.39561138,1.288272588,-1.005907539,-0.571802352,0.753597991,1.890410036,1.171511361
2010,1,2010_01_04,51.16,-0.028402518,ASY,-1.451173286,0.6702439,-0.8088014,-0.571802352,0.586306845,2.518344944,1.709280416
2010,1,2010_01_04,48.9,-0.028402518,ASY,-1.451173286,0.6702439,-0.8088014,-0.571802352,0.586306845,2.518344944,1.709280416
2010,1,2010_01_04,50.87,-0.028402518,ASY,-1.451173286,0.6702439,-0.8088014,-0.571802352,0.586306845,2.518344944,1.709280416
2009,1,2009_01_04,57.29,-1.899013571,SY,0.35770003,1.067548056,1.359366133,-0.571802352,1.796582028,1.850624492,0.517754245
2008,1,2008_01_04,55.12,-0.028402518,ASY,0.508494588,-0.448093727,-0.8088014,-0.571802352,-0.221536261,2.320150972,0.903748429
2009,1,2009_01_04,54.32,-1.899013571,SY,0.35770003,1.067548056,1.359366133,-0.571802352,1.796582028,1.850624492,0.517754245
2013,1,2013_01_04,17.28,-0.688618184,ASY,-1.543369608,0.30236968,-1.597225958,-0.571802352,0.606531391,2.462671894,2.231903148
2007,1,2007_01_04,48.06,0.906903009,ASY,1.743290377,-1.301561915,-0.414589121,-0.571802352,-0.518903525,1.360847608,0.080689682
2012,1,2012_01_04,47.07,0.906903009,ASY,2.318029285,-1.419281665,-0.020376842,-0.571802352,1.174620933,1.699746906,0.838040612
2012,1,2012_01_04,52.28,0.906903009,ASY,2.318029285,-1.419281665,-0.020376842,-0.571802352,1.174620933,1.699746906,0.838040612
2014,1,2014_01_04,52.81,-0.028402518,ASY,-0.39561138,1.288272588,-1.005907539,-0.571802352,0.753597991,1.890410036,1.171511361
2008,1,2008_01_04,53.36,-0.028402518,ASY,0.508494588,-0.448093727,-0.8088014,-0.571802352,-0.221536261,2.320150972,0.903748429
2012,1,2012_01_04,48.26,0.906903009,ASY,2.318029285,-1.419281665,-0.020376842,-0.571802352,1.174620933,1.699746906,0.838040612
2008,1,2008_01_04,51.11,-0.028402518,ASY,0.508494588,-0.448093727,-0.8088014,-0.571802352,-0.221536261,2.320150972,0.903748429
