id_chipmunk;laboratory;date_analysis;date_hairsample;site;sex;age;year;year_mast;season;body_mass;d15N;d13C;d15N_corrected;d13C_corrected;mean_Blup_exploration;type_explo
I075;GEOTOP;2017;21/05/2015;2;F;2;2015;Mast;spring;84;5 91;-23 77;5 34;-23 39;-3 12;inter
H072;GEOTOP;2017;13/05/2016;3;F;5;2016;Non-Mast;spring;90;3 2;-22 25;2 63;-21 87;-7 21;inter
J037;GEOTOP;2017;21/05/2015;2;M;2;2015;Mast;spring;86;4 78;-23 35;4 21;-22 97;-4 35;inter
J014;GEOTOP;2017;21/05/2015;2;M;2;2015;Mast;spring;93;4 11;-23 18;3 54;-22 8;-16 03;slow
I084;GEOTOP;2017;21/05/2015;2;M;2;2015;Mast;spring;81 5;3 67;-23 35;3 1;-22 97;12 71;fast
J008;GEOTOP;2017;21/05/2015;2;F;2;2015;Mast;spring;78;3 35;-23 19;2 78;-22 81;5 49;fast
I075;GEOTOP;2017;12/05/2016;2;F;3;2016;Non-Mast;spring;81 33;4 58;-22 95;4 01;-22 57;-3 12;inter
J064;GEOTOP;2017;21/05/2015;2;M;2;2015;Mast;spring;86;4 03;-23 86;3 46;-23 48;1 96;inter
H068;GEOTOP;2017;14/05/2016;3;F;5;2016;Non-Mast;spring;82 33;3 24;-22 46;2 67;-22 08;-3 29;slow
H068;GEOTOP;2017;23/05/2015;3;F;4;2015;Mast;spring;83;2 85;-23 72;2 28;-23 34;-3 29;slow
I053;GEOTOP;2017;17/05/2016;1;M;4;2016;Non-Mast;spring;92 5;3 99;-22 26;3 42;-21 88;-9 96;slow
H058;GEOTOP;2017;23/05/2015;3;F;3;2015;Mast;spring;79 5;1 87;-22 98;1 3;-22 6;-0 28;inter
L009;GEOTOP;2017;17/05/2016;1;M;1;2016;Non-Mast;spring;87;3 09;-22 61;2 52;-22 23;-24 66;slow
