Year,Farm,YearFarmNB,masse16,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2014,1,2014_01_04,24.56,-0.034601492,ASY,-0.397226662,1.316439698,-1.010642104,-0.57414457,0.750782833,1.890410036,1.171511361
2013,1,2013_01_04,19.94,-0.694362221,ASY,-1.540152241,0.321256496,-1.601688288,-0.57414457,0.603335495,2.462671894,2.231903148
2007,1,2007_01_04,22.03,0.90005954,ASY,1.732669225,-1.297772893,-0.419595921,-0.57414457,-0.525013038,1.360847608,0.080689682
2007,1,2007_01_04,21.58,0.90005954,ASY,1.732669225,-1.297772893,-0.419595921,-0.57414457,-0.525013038,1.360847608,0.080689682
2010,1,2010_01_04,21.57,-0.034601492,ASY,-1.448344112,0.692593511,-0.81362671,-0.57414457,0.583058591,2.518344944,1.709280416
2009,1,2009_01_04,20.05,-1.903923558,SY,0.352912922,1.093637488,1.35354263,-0.57414457,1.796467032,1.850624492,0.517754245
2014,1,2014_01_04,21.53,-0.034601492,ASY,-0.397226662,1.316439698,-1.010642104,-0.57414457,0.750782833,1.890410036,1.171511361
2012,1,2012_01_04,17.99,0.90005954,ASY,2.304988187,-1.416600738,-0.025565132,-0.57414457,1.172895754,1.699746906,0.838040612
2008,1,2008_01_04,19.95,-0.034601492,ASY,0.503072558,-0.436271016,-0.81362671,-0.57414457,-0.226875926,2.320150972,0.903748429
2009,1,2009_01_04,20.46,-1.903923558,SY,0.352912922,1.093637488,1.35354263,-0.57414457,1.796467032,1.850624492,0.517754245
2006,1,2006_01_05,22.3,-0.969262525,ASY,-1.046601227,1.257025775,-0.222580526,-0.57414457,-0.088764107,1.378830176,-0.703936242
2006,1,2006_01_05,22.44,-0.969262525,ASY,-1.046601227,1.257025775,-0.222580526,-0.57414457,-0.088764107,1.378830176,-0.703936242
2006,1,2006_01_05,22.42,-0.969262525,ASY,-1.046601227,1.257025775,-0.222580526,-0.57414457,-0.088764107,1.378830176,-0.703936242
2006,1,2006_01_05,23.07,-0.969262525,ASY,-1.046601227,1.257025775,-0.222580526,-0.57414457,-0.088764107,1.378830176,-0.703936242
