Year,Farm,FarmNB,noisnes,noisenvol,HD,AG,NN,MAX,RN,WT,FDM,Comp.1,Comp.2
2014,36,36_03,5,3,-1.024164593,ASY,0.132036729,0.18624795,0.790298392,0.485865875,0.510278727,2.639829396,0.125490978
2010,36,36_03,2,0,3.660304622,SY,-2.22351508,2.764219176,0.231810013,0.485865875,0.149699845,2.701075933,0.136012772
2015,36,36_03,4,4,1.925316024,SY,-0.653147207,0.095489533,-0.360526146,0.485865875,1.832147919,2.633754376,0.204002373
2014,36,36_04,4,4,-1.024164593,ASY,-0.653147207,0.18624795,0.790298392,0.485764293,0.510278727,2.639829396,0.125490978
2006,36,36_04,1,0,-0.156670294,ASY,-3.008699017,0.380009967,0.634598602,0.485764293,-0.024393719,2.654267957,0.620618762
2016,36,36_04,3,1,-0.677166873,ASY,-1.438331144,-1.6362675,-0.462069488,0.485764293,0.882517747,2.583195863,-0.354075518
2015,36,36_04,2,0,-0.850665733,ASY,-2.22351508,-0.876922078,0.231810013,0.485764293,0.741039948,2.633754376,0.204002373
2006,36,36_05,5,5,-0.503668013,ASY,0.132036729,-0.268984745,0.505977036,0.485382124,-0.010329489,2.654267957,0.620618762
2016,36,36_05,5,0,-0.677166873,ASY,0.132036729,-1.6362675,-0.462069488,0.485382124,0.882517747,2.583195863,-0.354075518
2011,36,36_05,2,2,0.710824005,ASY,-2.22351508,0.88638431,-0.56361283,0.485382124,0.065441606,2.547976695,0.202813371
2014,36,36_05,5,4,0.016828566,ASY,0.132036729,-0.137889254,0.857993954,0.485382124,1.576909521,2.639829396,0.125490978
2008,36,36_05,4,4,-0.503668013,ASY,-0.653147207,1.456145483,-0.59746061,0.485382124,1.250645541,2.601189186,0.532200539
2010,36,36_06,3,3,-0.503668013,ASY,-1.438331144,-0.366946211,-0.174363353,0.484904223,0.541024283,2.701075933,0.136012772
2015,36,36_06,5,5,-1.197663452,ASY,0.132036729,-0.480754385,-0.208211134,0.484904223,0.544087949,2.633754376,0.204002373
2012,36,36_06,4,4,-0.330169153,SY,-0.653147207,0.504622714,-1.359035673,0.484904223,0.621004488,2.65778724,0.537967077
2006,36,36_07,5,0,-0.156670294,ASY,0.132036729,0.380009967,0.634598602,0.484165235,-0.024393719,2.654267957,0.620618762
2009,36,36_07,6,6,-0.330169153,ASY,0.917220666,-1.059159217,-0.157439463,0.484165235,0.004954503,2.544156549,-0.323410668
2012,36,36_07,5,1,0.016828566,ASY,0.132036729,1.404283531,-1.392883453,0.484165235,0.517183965,2.65778724,0.537967077
2010,36,36_07,5,4,-0.503668013,ASY,0.132036729,-0.366946211,-0.174363353,0.484165235,0.541024283,2.701075933,0.136012772
2007,36,36_07,5,3,1.231320585,SY,0.132036729,0.939686872,0.333353355,0.484165235,-0.217159606,2.674657607,0.657201604
2009,36,36_08,5,5,0.016828566,ASY,0.132036729,-0.158057791,-0.868242855,0.483066253,0.078846694,2.544156549,-0.323410668
2016,36,36_08,4,3,0.016828566,ASY,-0.653147207,0.272540477,-1.443655124,0.483066253,0.817048388,2.583195863,-0.354075518
2015,36,36_08,6,3,0.190327426,ASY,0.917220666,0.563687716,-0.529765049,0.483066253,1.377682921,2.633754376,0.204002373
2013,36,36_08,4,4,-0.330169153,ASY,-0.653147207,-0.586639204,0.01179944,0.483066253,0.274059284,2.578502072,-0.341720945
2007,36,36_08,6,6,0.537325146,ASY,0.917220666,1.263824076,-0.851318964,0.483066253,-0.555118568,2.674657607,0.657201604
2012,36,36_09,6,6,-0.677166873,ASY,0.917220666,0.180485511,-1.359035673,0.481496345,0.730059084,2.65778724,0.537967077
2015,36,36_09,4,4,-0.156670294,ASY,-0.653147207,0.203535268,-0.191287244,0.481496345,1.167674734,2.633754376,0.204002373
2007,36,36_09,5,3,0.190327426,ASY,0.132036729,1.768037504,-0.851318964,0.481496345,-0.690363095,2.674657607,0.657201604
2009,36,36_09,5,5,-0.677166873,ASY,0.132036729,-0.987849032,-0.462069488,0.481496345,-0.065571288,2.544156549,-0.323410668
2010,36,36_09,5,5,-0.850665733,ASY,0.132036729,-1.530958924,-0.682080062,0.481496345,0.2771943,2.701075933,0.136012772
2014,36,36_09,6,4,0.363826286,ASY,0.917220666,0.078202215,0.857993954,0.481496345,1.892004015,2.639829396,0.125490978
2006,36,36_09,4,4,-0.156670294,ASY,-0.653147207,0.380009967,0.634598602,0.481496345,-0.024393719,2.654267957,0.620618762
