variable	CEN	LAB	NW	SW	all	rank_all
pcp_sep	0.027620116	0.026743395	0.030248	0.018899446	0.026450752	4
pcp_oct	0.021603121	0.017312671	0.060816544	0.017303224	0.019937628	6
ndvi_jul	0.008598106	0.008862796	0.009563923	-0.002289754	0.008050704	12
ndvi_aug	-0.0014008	0.020570228	0.059722214	0.026559098	0.019144459	7
ndvi_sep	0.001543875	0.009773437	0.009565397	0.013266992	0.008659301	11
ndvi_oct	0.0041897	0.025120115	0.072272207	0.076312397	0.027432182	3
popRFH	0.014513414	0.026514327	0.163082742	0.016022321	0.02987952	2
popRGH	0.033975794	0.036881845	0.108819335	0.055860749	0.040947595	1
st_sep	0.001565842	0.010206175	0.059197183	0.015267142	0.011320499	9
st_oct	0.039757225	0.017538863	0.071802146	0.048885886	0.025809639	5
swe_sep	0.005380396	0.009750387	0.030475847	0.016988138	0.010447548	10
swe_oct	0.013058002	0.015344807	0.029069578	0.015463744	0.015570434	8
pcp_sep	0.028298305	0.026670165	0.030905697	0.019714217	0.026595708	4
pcp_oct	0.023246609	0.017904043	0.061349074	0.018246434	0.020727962	6
ndvi_jul	0.007643881	0.009181997	0.008399917	-0.003712466	0.007958393	12
ndvi_aug	-0.000628857	0.021480765	0.060090303	0.029930136	0.02013098	7
ndvi_sep	0.003008896	0.009255129	0.013868668	0.014381089	0.008761015	11
ndvi_oct	0.001683217	0.025375776	0.065588842	0.07583985	0.02691468	3
popRFH	0.016224996	0.027626999	0.158202994	0.024402199	0.031307623	2
popRGH	0.031566	0.036064374	0.105387684	0.055040459	0.039727324	1
st_sep	0.000608002	0.010131502	0.057371131	0.016308755	0.011128166	9
st_oct	0.041022852	0.016810239	0.065570439	0.047630096	0.025148779	5
swe_sep	0.004078066	0.010607789	0.02359706	0.01501419	0.01039653	10
swe_oct	0.014479072	0.016612038	0.027765111	0.015181522	0.016665722	8
pcp_sep	0.026937786	0.026533356	0.027513757	0.019156802	0.026093116	4
pcp_oct	0.023542114	0.018193758	0.061457242	0.020096938	0.02110551	6
ndvi_jul	0.007811136	0.00867095	0.010816488	-0.003617595	0.007730264	12
ndvi_aug	0.001965786	0.021485367	0.062550965	0.02752067	0.020512339	7
ndvi_sep	0.002211133	0.009111136	0.011025669	0.012042158	0.008239109	11
ndvi_oct	0.006533943	0.024852815	0.06975326	0.074248203	0.027399012	3
popRFH	0.016449531	0.027091594	0.163258825	0.020239226	0.030901298	2
popRGH	0.034922225	0.039329218	0.108274778	0.058545608	0.042990665	1
st_sep	0.002968271	0.011140075	0.067209641	0.016974284	0.012702662	9
st_oct	0.044231146	0.018186824	0.068382766	0.047113507	0.026748571	4
swe_sep	0.005844681	0.010310239	0.033722905	0.014769586	0.010930126	10
swe_oct	0.013907679	0.016847961	0.024136971	0.015230526	0.016542345	8
pcp_sep	0.027875581	0.026659725	0.031369058	0.017832201	0.026436073	5
pcp_oct	0.023524411	0.017855468	0.064684809	0.018805675	0.020907371	6
ndvi_jul	0.007284987	0.00837209	0.00933214	-0.002875825	0.007421677	12
ndvi_aug	0.001692648	0.021202632	0.058859405	0.029602098	0.020250157	7
ndvi_sep	0.001594814	0.009954516	0.01076699	0.013903011	0.00889994	11
ndvi_oct	0.005168659	0.026311886	0.06207753	0.070990385	0.027631195	3
popRFH	0.018442473	0.02512052	0.124475216	0.025068427	0.028416151	2
popRGH	0.030380934	0.035272723	0.152855705	0.048330727	0.04058745	1
st_sep	0.002344252	0.011259322	0.060399287	0.015238003	0.012234969	9
st_oct	0.04141068	0.015934577	0.064507742	0.045679954	0.024406497	5
swe_sep	0.005711292	0.009682387	0.026477863	0.01565443	0.010181729	10
swe_oct	0.013595943	0.016927418	0.029932873	0.00981753	0.016444621	8
pcp_sep	0.026593818	0.025881981	0.034097433	0.019555796	0.025881831	4
pcp_oct	0.023111156	0.017196112	0.059639848	0.016758307	0.019961592	6
ndvi_jul	0.008020887	0.009344103	0.010681725	-0.002131336	0.008348595	11
ndvi_aug	-0.001837195	0.02128916	0.058158482	0.029557503	0.019708385	7
ndvi_sep	0.001869162	0.009074423	0.01200496	0.013260168	0.008298207	12
ndvi_oct	0.00582159	0.026291616	0.066761844	0.074381469	0.028149979	3
popRFH	0.015288205	0.027569626	0.155393504	0.025974579	0.031096551	2
popRGH	0.037741783	0.036137954	0.111149878	0.059786359	0.041429568	1
st_sep	0.002313539	0.010809137	0.059711376	0.016011362	0.011937576	9
st_oct	0.041615227	0.016269104	0.06993014	0.047205455	0.025040057	5
swe_sep	0.005331053	0.010226913	0.02873748	0.017838724	0.010754636	10
swe_oct	0.011149789	0.016480911	0.026556692	0.017690981	0.016145839	8
pcp_sep	0.026526748	0.027051486	0.030444605	0.018977165	0.026510616	4
