Year,Farm,FarmNB,dur,HD,AG,NN,MAX,RN,WT,FDM,Comp.1,Comp.2
2007,37,37_08,23.5,-0.662349998,SY,-0.721176175,0.896518352,-1.407598299,0.084481109,0.325764352,2.310532553,0.53379371
2015,37,37_08,21.5,-1.810456121,ASY,-0.721176175,-1.979645339,0.743543638,0.084481109,-0.196891843,2.632475012,0.1370667
2014,37,37_08,22.5,0.677107146,ASY,-0.721176175,0.256703697,1.760975635,0.084481109,0.170886516,2.715881672,0.989877911
2010,37,37_08,23.5,-0.662349998,ASY,0.916999195,0.681690074,0.089480211,0.084481109,2.645256715,2.311743427,0.57407817
2014,37,37_09,24.5,-0.088296936,ASY,1.736086881,-0.944199723,0.670869924,0.086009843,0.063155307,2.715881672,0.989877911
2015,37,37_09,21.5,-1.810456121,ASY,0.09791151,-1.979645339,0.743543638,0.086009843,-0.196891843,2.632475012,0.1370667
2013,37,37_09,18.5,2.590617351,ASY,-0.721176175,1.263194196,0.118549697,0.086009843,-0.878335472,2.436229417,0.636181869
2008,37,37_09,17.5,-0.662349998,ASY,-0.721176175,0.184649492,-0.927951786,0.086009843,0.256572687,2.286689377,0.903402712
2006,37,37_09,21.5,-1.42775408,ASY,0.09791151,-0.881485878,1.723185304,0.086009843,0.067821012,2.229372909,0.012338293
2007,37,37_09,21.5,-0.662349998,ASY,0.09791151,0.896518352,-1.407598299,0.086009843,0.325764352,2.310532553,0.53379371
2010,37,37_09,18.5,-0.662349998,SY,0.09791151,0.681690074,0.089480211,0.086009843,2.645256715,2.311743427,0.57407817
2007,37,37_10,20.5,0.103054084,ASY,0.09791151,0.796443067,-1.698293156,0.078962694,2.759517416,2.310532553,0.53379371
2008,37,37_10,18.5,-0.279647957,ASY,0.916999195,0.751742773,-0.942486529,0.078962694,0.440230749,2.286689377,0.903402712
2010,37,37_10,19.5,0.485756125,ASY,-0.721176175,1.406902306,-0.259353617,0.078962694,3.07123856,2.311743427,0.57407817
2015,37,37_10,19.5,-0.279647957,ASY,0.916999195,-0.34508235,1.252259637,0.078962694,-0.195825135,2.632475012,0.1370667
2012,37,37_10,20.5,-0.088296936,ASY,0.09791151,2.402317807,-1.131438186,0.078962694,2.305285685,2.461775358,1.386237483
2011,38,38_01,19.5,-0.088296936,ASY,0.09791151,-0.334407653,0.118549697,-0.756403778,0.14273281,-0.413329018,1.077669507
2007,38,38_01,17.5,1.633862249,ASY,-1.540263861,-0.050193844,0.089480211,-0.756403778,0.884816879,-0.004767208,1.476861456
2008,38,38_01,19.5,-1.045052039,ASY,0.09791151,0.087242881,0.045875983,-0.756403778,-0.071296556,-0.095603904,1.35713027
2014,38,38_01,20.5,-0.853701018,ASY,0.916999195,-0.620622969,0.714474152,-0.756403778,-0.527751104,-0.134427374,1.367378122
2012,38,38_01,18.5,-0.853701018,ASY,0.09791151,1.374878215,-1.393063556,-0.756403778,-0.258232686,-0.358252063,1.111384286
2016,38,38_02,23.5,-0.470998977,ASY,0.916999195,-0.645308206,-0.346562074,-0.756403778,-0.350837483,-0.128252676,1.351410671
2012,38,38_02,17.5,-1.236403059,SY,-1.540263861,0.573608766,-0.840743329,-0.756403778,-0.154476998,-0.358252063,1.111384286
2015,38,38_02,19.5,-0.662349998,ASY,-0.721176175,-0.511874492,0.540057238,-0.756403778,0.307148239,-0.143047791,1.337348665
2014,38,38_02,19.5,-0.088296936,SY,0.09791151,-0.953540083,0.758078381,-0.756403778,-0.242518196,-0.134427374,1.367378122
2006,38,38_03,19.5,-0.279647957,ASY,0.09791151,-0.393785656,2.659222741,-0.762998746,0.166037233,-0.024611084,1.456129782
2008,38,38_03,14.5,-0.279647957,ASY,0.09791151,0.925206601,-0.07040196,-0.762998746,0.075496808,-0.095603904,1.35713027
2016,38,38_03,19.5,0.677107146,SY,0.09791151,1.522989636,-1.451202528,-0.762998746,-0.276745709,-0.128252676,1.351410671
2008,38,38_04,17.5,-0.662349998,ASY,0.09791151,0.554928046,-0.041332474,-0.762998746,-0.000344408,-0.095603904,1.35713027
2007,38,38_04,18.5,-0.279647957,ASY,0.916999195,0.570940092,-1.1023687,-0.762998746,-0.540359808,-0.004767208,1.476861456
2006,38,38_04,19.5,-0.662349998,ASY,0.09791151,-0.260351943,2.572014285,-0.762998746,0.113574715,-0.024611084,1.456129782
2009,38,38_04,23.5,-0.853701018,ASY,-0.721176175,-0.923517498,0.365640325,-0.762998746,0.236679846,-0.078370157,1.373872906
2015,38,38_04,20,-0.279647957,ASY,0.09791151,-0.278365494,0.438314039,-0.762998746,0.442076327,-0.143047791,1.337348665
2014,38,38_04,19.5,2.973319392,ASY,0.916999195,2.21484344,0.569126724,-0.762998746,1.307678757,-0.134427374,1.367378122
2016,38,38_04,19.5,-0.088296936,ASY,1.736086881,-0.478516064,-1.189577157,-0.762998746,-0.315566223,-0.128252676,1.351410671
2011,38,38_04,18.5,3.356021433,ASY,-0.721176175,1.54433903,0.307501353,-0.762998746,1.834997641,-0.413329018,1.077669507
2010,38,38_04,15.5,-0.662349998,ASY,0.916999195,0.417491321,-0.404701045,-0.762998746,0.228132375,-0.394733801,1.098973917
2008,38,38_05,15.5,0.485756125,ASY,0.09791151,0.292730799,-0.114006188,-0.762998746,0.244196504,-0.095603904,1.35713027
2006,38,38_05,15.5,0.485756125,ASY,0.09791151,1.241444501,0.170874771,-0.762998746,0.275918883,-0.024611084,1.456129782
2007,38,38_05,18.5,-0.662349998,ASY,-1.540263861,0.570940092,0.03134124,-0.762998746,-0.767911044,-0.004767208,1.476861456
2015,38,38_05,19,-0.662349998,ASY,0.916999195,-0.511874492,0.540057238,-0.762998746,0.307148239,-0.143047791,1.337348665
2009,38,38_05,17.5,0.294405105,ASY,0.09791151,0.043876924,-0.259353617,-0.762998746,0.386988239,-0.078370157,1.373872906
2014,38,38_05,15.5,0.294405105,ASY,-3.178439231,-0.687339825,2.473178033,-0.762998746,-0.082037313,-0.134427374,1.367378122
2013,38,38_05,19.5,1.442511228,SY,0.09791151,0.005247864,-0.012262989,-0.762998746,-0.482233575,-0.205871183,1.308340017
2009,38,38_06,19.5,1.442511228,ASY,-1.540263861,0.085908544,0.39470981,-0.762998746,0.549799933,-0.078370157,1.373872906
2015,38,38_06,19.5,0.103054084,ASY,0.09791151,-0.34508235,0.467383524,-0.762998746,0.635741208,-0.143047791,1.337348665
2014,38,38_06,17.5,-0.470998977,ASY,-0.721176175,-0.420472399,0.714474152,-0.762998746,-0.391127768,-0.134427374,1.367378122
2013,38,38_06,19.5,3.738723474,ASY,-0.721176175,2.316253062,-1.131438186,-0.762998746,-0.552507748,-0.205871183,1.308340017
2007,38,38_06,19.5,0.868458166,ASY,0.09791151,0.276718754,0.045875983,-0.762998746,0.362449915,-0.004767208,1.476861456
2013,38,38_07,22.5,-0.088296936,ASY,0.09791151,0.551125185,0.307501353,-0.762998746,-0.688477142,-0.205871183,1.308340017
2006,38,38_07,19.5,-0.279647957,ASY,0.916999195,-0.393785656,2.659222741,-0.762998746,0.166037233,-0.024611084,1.456129782
2011,38,38_07,20.5,-0.470998977,ASY,-2.359351546,0.666345197,-1.334924585,-0.762998746,0.162953856,-0.413329018,1.077669507
2015,38,38_07,19,-0.279647957,ASY,0.09791151,-0.278365494,0.438314039,-0.762998746,0.442076327,-0.143047791,1.337348665
2008,38,38_07,19.5,-1.045052039,ASY,0.916999195,0.087242881,0.045875983,-0.762998746,-0.071296556,-0.095603904,1.35713027
2012,38,38_07,17.5,-0.853701018,ASY,-0.721176175,1.374878215,-1.393063556,-0.762998746,-0.258232686,-0.358252063,1.111384286
2014,38,38_07,19.5,-1.236403059,ASY,-0.721176175,-0.41980523,1.150516437,-0.762998746,-0.652531927,-0.134427374,1.367378122
2009,38,38_08,19.5,-0.853701018,ASY,1.736086881,-0.923517498,0.365640325,-0.761213273,0.236679846,-0.078370157,1.373872906
2011,38,38_08,17.5,1.825213269,SY,0.09791151,0.34343561,0.932495295,-0.761213273,0.669352986,-0.413329018,1.077669507
2007,38,38_08,19.5,-0.662349998,ASY,-1.540263861,0.570940092,0.03134124,-0.761213273,-0.767911044,-0.004767208,1.476861456
2015,38,38_08,17.5,-0.279647957,ASY,-2.359351546,-0.278365494,0.438314039,-0.761213273,0.442076327,-0.143047791,1.337348665
2006,38,38_08,17.5,1.633862249,ASY,-2.359351546,1.408236643,1.50807111,-0.761213273,0.453926503,-0.024611084,1.456129782
2014,38,38_08,17.5,-0.088296936,ASY,-2.359351546,-0.953540083,0.758078381,-0.761213273,-0.242518196,-0.134427374,1.367378122
2012,38,38_08,18.5,-0.470998977,ASY,0.916999195,2.141454898,-1.422133042,-0.761213273,-0.341596713,-0.358252063,1.111384286
2008,38,38_08,19.5,-1.810456121,ASY,0.09791151,-0.714026568,0.292966611,-0.761213273,-0.17197021,-0.095603904,1.35713027
2009,38,38_09,19.5,-1.236403059,ASY,0.09791151,-0.990234355,0.147619182,-0.75700091,0.189187338,-0.078370157,1.373872906
2014,38,38_09,18.5,-1.236403059,ASY,0.916999195,-0.41980523,1.150516437,-0.75700091,-0.652531927,-0.134427374,1.367378122
2015,38,38_09,17,0.103054084,ASY,0.916999195,-0.34508235,0.467383524,-0.75700091,0.635741208,-0.143047791,1.337348665
2012,38,38_09,17.5,-1.236403059,ASY,0.09791151,0.573608766,-0.840743329,-0.75700091,-0.154476998,-0.358252063,1.111384286
2008,38,38_09,19.5,-1.42775408,ASY,0.916999195,-0.009496561,0.39470981,-0.75700091,-0.137920077,-0.095603904,1.35713027
2013,38,38_09,19.5,-0.088296936,ASY,-0.721176175,0.551125185,0.307501353,-0.75700091,-0.688477142,-0.205871183,1.308340017
2013,38,38_10,15.5,0.677107146,ASY,-1.540263861,-0.06153571,-0.07040196,-0.756403778,-0.559178028,-0.205871183,1.308340017
2014,38,38_10,21.5,-0.853701018,ASY,0.916999195,-0.620622969,0.714474152,-0.756403778,-0.527751104,-0.134427374,1.367378122
2007,38,38_10,19.5,-0.662349998,ASY,0.09791151,0.570940092,0.03134124,-0.756403778,-0.767911044,-0.004767208,1.476861456
2006,39,39_01,25.5,-0.853701018,ASY,2.555174566,-0.491192267,1.191213717,0.321357935,0.518001266,1.334989042,-1.823093459
2006,39,39_02,21.5,-1.236403059,ASY,0.09791151,-0.891493407,0.59819621,0.311799026,0.374138201,1.334989042,-1.823093459
2006,39,39_03,21.5,-0.088296936,ASY,0.09791151,0.14328504,1.252259637,0.303495898,0.818127874,1.334989042,-1.823093459
2009,39,39_03,19.5,-0.853701018,SY,0.09791151,-1.053615368,-0.259353617,0.303495898,1.538549593,1.611184408,-1.682907846
2011,39,39_04,19.5,-0.853701018,ASY,-0.721176175,0.73906657,-0.680861158,0.295946759,0.528806365,1.56913898,-1.215199724
2007,39,39_04,19.5,0.677107146,ASY,0.09791151,1.062643325,-1.015160243,0.295946759,0.11246083,1.663987697,-1.061671701
2016,39,39_05,21.5,0.294405105,ASY,0.916999195,0.85582107,-1.349459328,0.288866762,-0.352708237,1.814185199,-1.414055908
2006,39,39_05,17.5,1.442511228,ASY,0.09791151,0.577611777,1.44702519,0.288866762,1.390760579,1.334989042,-1.823093459
2011,39,39_05,18.5,0.294405105,ASY,0.916999195,-0.256348931,0.569126724,0.288866762,1.091255166,1.56913898,-1.215199724
2008,39,39_06,17.5,0.294405105,ASY,-0.721176175,-0.802092819,-0.579117959,0.282351246,1.6066109,1.450830111,-1.24633651
2009,39,39_06,27.5,-1.6191051,ASY,-0.721176175,-1.22040751,-0.53551373,0.282351246,1.039098753,1.611184408,-1.682907846
2013,39,39_07,19.5,-0.662349998,SY,0.09791151,-1.671813762,0.03134124,0.289790174,1.680463897,1.314577966,-0.865476449
2008,39,39_07,17.5,-0.470998977,ASY,0.916999195,-0.202975446,-0.811673844,0.289790174,0.637612154,1.450830111,-1.24633651
2006,39,39_07,19.5,-0.470998977,ASY,0.09791151,-0.691342837,1.290049968,0.289790174,0.666673488,1.334989042,-1.823093459
2010,39,39_07,20.5,0.103054084,SY,-0.721176175,0.707042479,-0.361096816,0.289790174,0.769333485,1.486509585,-1.169571316
2015,39,39_07,21,-0.662349998,ASY,0.916999195,-0.712025062,0.990634266,0.289790174,1.631438585,1.575796231,-1.103446434
2007,39,39_07,21.5,0.294405105,ASY,0.09791151,1.528994153,-1.334924585,0.289790174,-0.103836797,1.663987697,-1.061671701
2012,39,39_07,18.5,-1.045052039,ASY,0.916999195,-0.630630497,-1.131438186,0.289790174,1.022153498,0.933323552,-1.38588608
2011,39,39_07,20.5,-0.088296936,ASY,-0.721176175,-0.194969423,0.452848782,0.289790174,0.904800585,1.56913898,-1.215199724
2008,39,39_08,19.5,-1.6191051,ASY,0.09791151,-0.43848595,-0.826208587,0.296730677,-0.621697082,1.450830111,-1.24633651
2013,39,39_08,17.5,-1.810456121,ASY,0.09791151,-1.838872771,-0.041332474,0.296730677,0.485959622,1.314577966,-0.865476449
2012,39,39_08,16.5,-0.279647957,ASY,-0.721176175,1.170724633,-1.538410985,0.296730677,0.832890339,0.933323552,-1.38588608
2011,39,39_08,17.5,2.590617351,ASY,-2.359351546,0.14328504,0.787147866,0.296730677,1.809544277,1.56913898,-1.215199724
2006,39,39_08,21.5,-0.470998977,ASY,0.916999195,-0.691342837,1.290049968,0.296730677,0.666673488,1.334989042,-1.823093459
2007,39,39_08,18.5,1.059809187,ASY,-0.721176175,0.528908472,-0.942486529,0.296730677,0.322004088,1.663987697,-1.061671701
2016,39,39_08,19.5,-0.088296936,ASY,-3.178439231,-0.511874492,-1.145972929,0.296730677,-0.391527188,1.814185199,-1.414055908
2014,39,39_08,19.5,-0.470998977,ASY,0.916999195,-0.647309711,0.540057238,0.296730677,3.849697375,1.435055074,-0.897028199
2006,39,39_09,21.5,-0.853701018,ASY,0.09791151,-0.491192267,1.191213717,0.275515991,0.518001266,1.334989042,-1.823093459
2007,39,39_09,21.5,0.677107146,ASY,0.09791151,1.062643325,-1.015160243,0.275515991,0.11246083,1.663987697,-1.061671701
2011,39,39_09,19.5,1.059809187,ASY,-3.178439231,0.376794039,0.118549697,0.275515991,1.424318053,1.56913898,-1.215199724
2016,39,39_09,19.5,1.442511228,SY,-1.540263861,1.623064921,-0.927951786,0.275515991,-0.104679384,1.814185199,-1.414055908
2009,39,39_09,17.5,2.973319392,SY,-0.721176175,0.113929623,1.615628207,0.275515991,2.027548874,1.611184408,-1.682907846
2014,39,39_10,23.5,0.677107146,ASY,0.09791151,-0.046190833,1.281329122,0.267804791,4.036567844,1.435055074,-0.897028199
2015,39,39_10,17,0.103054084,ASY,0.09791151,-0.445157635,0.467383524,0.267804791,1.873665702,1.575796231,-1.103446434
2006,39,39_10,19.5,-0.470998977,ASY,-0.721176175,-0.691342837,1.290049968,0.267804791,0.666673488,1.334989042,-1.823093459
2007,39,39_10,21.5,0.677107146,ASY,0.09791151,1.062643325,-1.015160243,0.267804791,0.11246083,1.663987697,-1.061671701
2009,39,39_10,19.5,-0.853701018,ASY,0.09791151,-1.053615368,-0.259353617,0.267804791,1.538549593,1.611184408,-1.682907846
2012,39,39_10,19.5,3.547372454,SY,-1.540263861,2.152796763,-0.869812815,0.267804791,0.074797174,0.933323552,-1.38588608
2011,40,40_01,15.5,0.485756125,ASY,0.09791151,-0.166948343,-0.346562074,-0.231390166,-0.768732435,-0.438504191,0.076330547
2010,40,40_01,15.5,-0.088296936,ASY,0.09791151,-1.203728296,-0.564583216,-0.231390166,-0.933057276,-0.722632548,-0.121420161
