farm;nest;year;idbrood;n_fledglings;date_fledgling;recruits;mean_mass;total_fledgling;density.nnich;density.hosp;mean_ext5km;male;female;sex_ratio;ENSO_mo;ENSO_mb
07;02;2004;70220041;3;203;0;21.03333333;23;6;0;24.85360575;;;;-0.233333333;-0.15
07;05;2004;70520041;6;181;0;;23;6;0;24.81939406;;;;-0.233333333;-0.15
07;08;2004;70820041;5;171;0;;23;6;0;24.82814589;;;;-0.233333333;-0.15
07;09;2004;70920041;5;175;0;;23;6;0;24.86713131;;;;-0.233333333;-0.15
08;04;2004;80420041;2;183;0;;7;3;2;15.93787792;;;;-0.233333333;-0.15
08;06;2004;80620041;5;183;0;;7;3;2;15.85513335;;;;-0.233333333;-0.15
09;01;2004;90120041;4;177;0;;19;6;0;22.75714468;;;;-0.233333333;-0.15
09;04;2004;90420041;7;177;0;;19;6;0;22.52402775;;;;-0.233333333;-0.15
09;07;2004;90720041;3;177;0;;19;6;0;22.41741455;;;;-0.233333333;-0.15
09;08;2004;90820041;5;177;0;;19;6;0;22.41661893;;;;-0.233333333;-0.15
10;01;2004;100120041;2;189;1;;7;3;0;24.93635033;;1;;-0.233333333;-0.15
10;06;2004;100620041;5;181;0;;7;3;0;24.70959837;;;;-0.233333333;-0.15
11;07;2004;110720041;4;178;0;;8;5;0;29.50957928;;;;-0.233333333;-0.15
11;08;2004;110820041;4;201;0;;8;5;0;29.45547705;;;;-0.233333333;-0.15
12;04;2004;120420041;6;181;0;22.08333333;16;4;0;24.14789001;;;;-0.233333333;-0.15
12;05;2004;120520041;3;184;0;;16;4;0;24.08105786;;;;-0.233333333;-0.15
12;10;2004;121020041;7;188;0;;16;4;0;23.58220355;;;;-0.233333333;-0.15
13;02;2004;130220041;5;181;0;;14;3;0;26.58010311;;;;-0.233333333;-0.15
13;03;2004;130320041;5;181;0;;14;3;0;26.59521991;;;;-0.233333333;-0.15
13;07;2004;130720041;4;194;0;22.725;14;3;0;26.69944625;;;;-0.233333333;-0.15
14;02;2004;140220041;5;173;0;22.96;22;9;1;23.57186048;;;;-0.233333333;-0.15
14;04;2004;140420041;2;176;0;;22;9;1;23.90602126;;;;-0.233333333;-0.15
14;05;2004;140520041;6;180;0;;22;9;1;23.97921838;;;;-0.233333333;-0.15
14;07;2004;140720042;5;208;0;;22;9;1;24.15823309;;;;-0.233333333;-0.15
14;08;2004;140820041;4;196;0;;22;9;1;24.20358348;;;;-0.233333333;-0.15
15;02;2004;150220041;4;173;2;;29;8;0;22.62666285;;2;;-0.233333333;-0.15
15;03;2004;150320041;2;184;0;;29;8;0;22.68633442;;;;-0.233333333;-0.15
15;04;2004;150420041;6;173;0;;29;8;0;22.70145121;;;;-0.233333333;-0.15
15;05;2004;150520041;5;182;0;;29;8;0;22.75157533;;;;-0.233333333;-0.15
15;09;2004;150920041;6;176;0;;29;8;0;22.76828337;;;;-0.233333333;-0.15
15;10;2004;151020041;6;176;0;;29;8;0;22.73248043;;;;-0.233333333;-0.15
16;04;2004;160420041;6;173;0;24.65;11;2;0;27.79262937;;;;-0.233333333;-0.15
16;07;2004;160720041;5;176;0;;11;2;0;27.99233021;;;;-0.233333333;-0.15
17;02;2004;170220041;3;183;0;;12;8;0;21.14680797;;;;-0.233333333;-0.15
17;04;2004;170420041;3;181;0;;12;8;0;21.03064732;;;;-0.233333333;-0.15
17;05;2004;170520041;1;189;0;;12;8;0;20.97018013;;;;-0.233333333;-0.15
17;07;2004;170720041;1;187;0;;12;8;0;20.77684425;;;;-0.233333333;-0.15
17;10;2004;171020041;4;177;0;;12;8;0;20.76490994;;;;-0.233333333;-0.15
18;01;2004;180120041;4;180;0;;13;4;0;12.38702183;;;;-0.233333333;-0.15
18;02;2004;180220042;5;194;1;21.64;13;4;0;12.38224811;;1;;-0.233333333;-0.15
18;04;2004;180420041;4;183;0;;13;4;0;12.39179556;;;;-0.233333333;-0.15
19;02;2004;190220041;4;198;0;;9;5;1;24.69527719;;;;-0.233333333;-0.15
19;03;2004;190320041;3;182;0;;9;5;1;24.8018904;;;;-0.233333333;-0.15
19;05;2004;190520041;2;182;0;;9;5;1;24.98567882;;;;-0.233333333;-0.15
19;09;2004;190920041;3;191;0;;9;5;1;24.70243778;;;;-0.233333333;-0.15
20;02;2004;200220041;2;180;0;;8;3;1;35.84192604;;;;-0.233333333;-0.15
20;04;2004;200420041;4;198;0;;8;3;1;35.72019604;;;;-0.233333333;-0.15
20;09;2004;200920041;2;184;0;;8;3;1;35.24361912;;;;-0.233333333;-0.15
21;01;2004;210120041;6;194;0;;15;5;0;31.76039081;;;;-0.233333333;-0.15
21;02;2004;210220041;4;203;0;20.3;15;5;0;31.67128127;;;;-0.233333333;-0.15
21;07;2004;210720041;5;198;0;23.7;15;5;0;30.91225893;;;;-0.233333333;-0.15
22;02;2004;220220041;5;188;0;;19;7;0;29.1109732;;;;-0.233333333;-0.15
