"","year","sampling_unit","sampling_unit_id","species","dist_colony","sdist_colony","lemmings","lemmingsHL","pa","inaccessible_nest_rlha"
"164",2015,"nesting_zone","10","crpl",21.2168620291244,3.08941422052117,2.4595,"high",0,"NA"
"165",2015,"nesting_zone","11","crpl",21.2990040805165,3.1013750289256,2.4595,"high",1,"NA"
"166",2015,"nesting_zone","12","crpl",21.1793800494551,3.08395642186816,2.4595,"high",1,"NA"
"167",2015,"nesting_zone","13","crpl",15.9023214507286,2.31555721867544,2.4595,"high",0,"NA"
"168",2015,"nesting_zone","14","crpl",16.7954074406145,2.44560060367338,2.4595,"high",0,"NA"
"169",2015,"nesting_zone","15","crpl",4.87179304823069,0.709387971792416,2.4595,"high",1,"NA"
"170",2015,"nesting_zone","16","crpl",16.6392799129062,2.42286667611828,2.4595,"high",1,"NA"
"171",2015,"nesting_zone","17","crpl",14.2976107301167,2.08189325303924,2.4595,"high",1,"NA"
"172",2015,"nesting_zone","18","crpl",14.6923648287518,2.13937389858703,2.4595,"high",1,"NA"
"173",2015,"nesting_zone","19","crpl",13.6107929384636,1.98188484229842,2.4595,"high",1,"NA"
"174",2015,"nesting_zone","20","crpl",21.5153399152427,3.13287596451607,2.4595,"high",1,"NA"
"175",2015,"nesting_zone","21","crpl",2.49043693456471,0.362635684315325,2.4595,"high",1,"NA"
"176",2015,"nesting_zone","22","crpl",8.75459985412861,1.27476840105717,2.4595,"high",1,"NA"
"177",2015,"nesting_zone","23","crpl",16.2184257501482,2.36158556709257,2.4595,"high",1,"NA"
"178",2015,"nesting_zone","24","crpl",21.1013337744709,3.07259200466717,2.4595,"high",1,"NA"
"179",2015,"nesting_zone","25","crpl",20.8092831410898,3.03006614110444,2.4595,"high",1,"NA"
"180",2015,"nesting_zone","26","crpl",2.71649132986157,0.395551751850797,2.4595,"high",1,"NA"
"181",2015,"nesting_zone","27","crpl",11.5169239495005,1.67699392009083,2.4595,"high",1,"NA"
"182",2015,"nesting_zone","28","crpl",13.9175699004754,2.02655502527207,2.4595,"high",1,"NA"
"183",2015,"nesting_zone","29","crpl",16.3745055195521,2.38431254050033,2.4595,"high",1,"NA"
"184",2015,"nesting_zone","30","crpl",20.4259757195661,2.97425226074546,2.4595,"high",1,"NA"
"185",2015,"nesting_zone","31","crpl",2.4023658280888,0.349811538671629,2.4595,"high",1,"NA"
"186",2015,"nesting_zone","32","crpl",2.25776576931091,0.328756140504671,2.4595,"high",1,"NA"
"187",2015,"nesting_zone","33","crpl",3.36962280284338,0.490655054956134,2.4595,"high",0,"NA"
"188",2015,"nesting_zone","34","crpl",6.00833077689445,0.874880673600665,2.4595,"high",0,"NA"
"189",2015,"nesting_zone","35","crpl",20.6589229784649,3.00817200690233,2.4595,"high",0,"NA"
"190",2015,"nesting_zone","36","crpl",2.64427644368886,0.385036450579146,2.4595,"high",0,"NA"
"191",2015,"nesting_zone","37","crpl",3.60044071269134,0.524264743893942,2.4595,"high",0,"NA"
"192",2015,"nesting_zone","38","crpl",3.6704676531178,0.534461455607301,2.4595,"high",0,"NA"
"193",2015,"nesting_zone","39","crpl",21.1847175170066,3.08473361729567,2.4595,"high",0,"NA"
"194",2015,"nesting_zone","40","crpl",1.89439291898405,0.27584495836991,2.4595,"high",0,"NA"
"195",2015,"nesting_zone","41","crpl",2.14757767444405,0.312711512097958,2.4595,"high",0,"NA"
"196",2015,"nesting_zone","42","crpl",21.1140807552875,3.07444810872956,2.4595,"high",0,"NA"
"197",2015,"nesting_zone","43","crpl",20.3838391640126,2.96811670338773,2.4595,"high",0,"NA"
"198",2015,"nesting_zone","44","crpl",20.8694712884934,3.03883021367277,2.4595,"high",0,"NA"
"199",2015,"nesting_zone","45","crpl",4.39043498316904,0.63929681272645,2.4595,"high",0,"NA"
"200",2015,"nesting_zone","46","crpl",14.4676923730836,2.10665905703563,2.4595,"high",0,"NA"
"201",2015,"nesting_zone","47","crpl",15.1871957449047,2.21142685660776,2.4595,"high",0,"NA"
"202",2015,"nesting_zone","48","crpl",11.257774253596,1.63925880381058,2.4595,"high",0,"NA"
"203",2015,"nesting_zone","49","crpl",3.84455325626374,0.559810281329446,2.4595,"high",0,"NA"
"204",2015,"nesting_zone","50","crpl",3.76254125379023,0.547868409513186,2.4595,"high",0,"NA"
"205",2015,"nesting_zone","51","crpl",13.9995755982451,2.0384959790524,2.4595,"high",0,"NA"
"206",2015,"nesting_zone","52","crpl",14.34647193743,2.08900799547846,2.4595,"high",0,"NA"
"207",2015,"nesting_zone","53","crpl",3.13174446304559,0.456017287848234,2.4595,"high",0,"NA"
"208",2016,"nesting_zone","1","crpl",2.34376682971903,0.341278864111962,2.26800095,"high",0,"NA"
"209",2016,"nesting_zone","2","crpl",2.56195395382028,0.373049368299043,2.26800095,"high",1,"NA"
"210",2016,"nesting_zone","3","crpl",2.34238488960664,0.341077638057456,2.26800095,"high",1,"NA"
"211",2016,"nesting_zone","4","crpl",9.0144435219999,1.31260456747669,2.26800095,"high",1,"NA"
"212",2016,"nesting_zone","5","crpl",9.29103572932742,1.35287950999317,2.26800095,"high",0,"NA"
"213",2016,"nesting_zone","6","crpl",2.44627046196535,0.356204548159026,2.26800095,"high",0,"NA"
"214",2016,"nesting_zone","7","crpl",3.45665202030225,0.503327489817104,2.26800095,"high",1,"NA"
"215",2016,"nesting_zone","8","crpl",3.91821810842788,0.570536713990227,2.26800095,"high",0,"NA"
"216",2016,"nesting_zone","9","crpl",21.0056357790396,3.05865729803831,2.26800095,"high",1,"NA"
"217",2016,"nesting_zone","10","crpl",20.9599574131125,3.05200601317481,2.26800095,"high",1,"NA"
"218",2016,"nesting_zone","11","crpl",21.0337748423402,3.06275466277555,2.26800095,"high",1,"NA"
"219",2016,"nesting_zone","12","crpl",20.9170150980932,3.04575312815813,2.26800095,"high",0,"NA"
"220",2016,"nesting_zone","13","crpl",15.704381603291,2.28673494615266,2.26800095,"high",0,"NA"
"221",2016,"nesting_zone","14","crpl",16.5869222426137,2.41524280926497,2.26800095,"high",0,"NA"
"222",2016,"nesting_zone","15","crpl",4.42236006173658,0.643945463954064,2.26800095,"high",0,"NA"
"223",2016,"nesting_zone","16","crpl",16.8244405029206,2.44982814474098,2.26800095,"high",1,"NA"
"224",2016,"nesting_zone","17","crpl",14.4432957793996,2.10310663805132,2.26800095,"high",1,"NA"
"225",2016,"nesting_zone","18","crpl",14.7484614174724,2.1475421941002,2.26800095,"high",1,"NA"
"226",2016,"nesting_zone","19","crpl",13.4547604804415,1.95916475796104,2.26800095,"high",0,"NA"
"227",2016,"nesting_zone","20","crpl",21.2671378990557,3.09673495378048,2.26800095,"high",1,"NA"
"228",2016,"nesting_zone","21","crpl",3.0491502067229,0.443990633309668,2.26800095,"high",0,"NA"
"229",2016,"nesting_zone","22","crpl",8.9897683906877,1.30901159027467,2.26800095,"high",0,"NA"
"230",2016,"nesting_zone","23","crpl",16.4079949313146,2.3891889762708,2.26800095,"high",1,"NA"
"231",2016,"nesting_zone","24","crpl",20.8345472159988,3.03374487513142,2.26800095,"high",0,"NA"
"232",2016,"nesting_zone","25","crpl",20.4679863712784,2.980369485085,2.26800095,"high",1,"NA"
"233",2016,"nesting_zone","26","crpl",2.39062475609656,0.348101906270419,2.26800095,"high",0,"NA"
"234",2016,"nesting_zone","27","crpl",11.3591931612675,1.65402653973496,2.26800095,"high",0,"NA"
"235",2016,"nesting_zone","28","crpl",13.745034323911,2.00143190088863,2.26800095,"high",0,"NA"
"236",2016,"nesting_zone","29","crpl",16.5746787204378,2.41346001445452,2.26800095,"high",0,"NA"
"237",2016,"nesting_zone","30","crpl",20.0979339589139,2.92648568344046,2.26800095,"high",0,"NA"
"238",2016,"nesting_zone","31","crpl",2.39330770579386,0.348492573982562,2.26800095,"high",0,"NA"
