RECNOCAR	TYPEID1	FAKETIME	JNDEP	RDDS12	RDDS34	CRRD12	CRRD34	DENS05	DENS620	DENSRGN	CR05	CR620	CRRGN	P_CUT05	P_CUT620	P_REGEN	P_CUT052	P_CUT6202	P_REGEN2	TOPOVAR	TOPOMOY	COLLIER3	DVAR12KM	DVAR34KM
1743	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.668151855	539.693252	BO810_Calving_09	-0.13248093	2.32E-05
1743	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.798034668	539.848537	BO810_Calving_09	0.165400501	0.191026403
1743	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.786560059	539.391231	BO810_Calving_09	-0.096847255	-0.019639058
1743	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02331543	539.001766	BO810_Calving_09	0.030699622	0.023692086
1743	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.057373047	539.03037	BO810_Calving_09	0.009553797	0.003199498
1743	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.04498291	539.005707	BO810_Calving_09	0.067943196	0.061052203
1743	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539.019531	BO810_Calving_09	0.000315027	0.001103165
1743	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46496582	539.124406	BO810_Calving_09	0.038198359	0.121438855
1743	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328125	539.419056	BO810_Calving_09	-0.321040791	-0.225391793
1743	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539.019531	BO810_Calving_09	0.000786425	-0.001394333
1743	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.046203613	539.048728	BO810_Calving_09	-0.015775298	-0.006732038
1748	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003967285	540.033802	BO810_Calving_09	-0.00790704	-0.01580807
1748	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.001586914	540.037425	BO810_Calving_09	0.001511146	0.00580067
1748	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227172851	539.98206	BO810_Calving_09	-0.051902512	-0.032918887
1748	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540.036743	BO810_Calving_09	-0.000784886	0.000363345
1748	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003173828	540.034748	BO810_Calving_09	-0.000839447	-0.005090977
1748	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018188476	540.036383	BO810_Calving_09	0.006888199	0.007305492
1748	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076660156	539.997899	BO810_Calving_09	0.04636277	0.09405087
1748	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146118164	539.99097	BO810_Calving_09	0.04835046	0.061945741
1748	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.094238281	540.004753	BO810_Calving_09	0.079908013	0.147356424
1748	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000976562	540.037041	BO810_Calving_09	0.012695798	0.020299811
1748	0	2	N	0	0	0	1	0	0	0	2	0	0	0.035803836	0	0	0.001281915	0	0	-41.51818848	552.661139	BO810_Calving_09	0.965019356	0.572515795
1754	1	1	N	0	0	0	0	0	0	2.974454311	0	0	0	0	0	0	0	0	0	0.131835938	627.645827	BO810_Calving_09	-0.009691259	-0.014118278
1754	0	2	N	0	0	0	0	0	0	2.974454311	0	0	0	0	0	0	0	0	0	-0.676452636	628.128826	BO810_Calving_09	0.035831125	0.037505705
1754	0	2	N	0	0	0	0	0	0	2.974454311	0	0	0	0	0	0	0	0	0	0.039855957	627.793891	BO810_Calving_09	0.0057008	0.009028478
1754	0	2	N	0	0	0	0	0	0	2.974454311	0	0	0	0	0	0	0	0	0	0.273498536	627.607188	BO810_Calving_09	-0.006396271	-0.006024359
1754	0	2	N	0	0	0	0	0	0	2.974454311	0	0	0	0	0	0.190485272	0	0	0.036284639	0.197448731	627.536325	BO810_Calving_09	-0.072775225	-0.094127068
1754	0	2	N	0	0	0	0	0	0	2.974454311	0	0	0	0	0	0	0	0	0	1.782104493	626.231693	BO810_Calving_09	-0.194985515	-0.206869507
1754	0	2	N	0	0	0	0	0	0	2.974454311	0	0	0	0	0	0	0	0	0	0	627.829529	BO810_Calving_09	-0.000565464	-0.001715251
1754	0	2	N	0	0	0	0	0	0	2.974454311	0	0	0	0	0	0	0	0	0	1.042785645	627.156683	BO810_Calving_09	-0.053888571	-0.062617064
1754	0	2	N	0	0	0	0	0	0	2.974454311	0	0	0	0	0	0	0	0	0	0.807067871	627.323623	BO810_Calving_09	-0.026915316	-0.022873158
1754	0	2	N	0	0	0	0	0	0	2.974454311	0	0	0	0	0	0.533593854	0	0	0.284722401	-2.203491211	628.667787	BO810_Calving_09	-0.080839148	-0.115676496
1754	0	2	N	0	0	0	1	0	0	2.974454311	0	0	0	0	0	0	0	0	0	-1.126586914	629.024073	BO810_Calving_09	0.157948674	0.150280116
1760	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.69824219	663.628422	BO810_Calving_09	0.125965069	-0.187006272
1760	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.883850098	664.167716	BO810_Calving_09	0.132874389	-0.028583871
1760	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.895690918	668.885539	BO810_Calving_09	-0.130425738	-0.134795475
1760	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.300842285	666.541077	BO810_Calving_09	-0.030618053	-0.030284606
1760	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.590454101	669.495074	BO810_Calving_09	-0.118172741	-0.160854971
1760	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14.36169434	672.523322	BO810_Calving_09	0.192544486	0.029293139
1760	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.300842285	666.702377	BO810_Calving_09	-0.038039943	-0.037694678
1760	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.138977051	665.021372	BO810_Calving_09	0.030505543	-0.004934093
1760	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.321716308	665.756657	BO810_Calving_09	0.054561899	0.041152022
1760	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.676391601	665.776564	BO810_Calving_09	0.134643195	0.089248096
1760	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.080505371	666.118393	BO810_Calving_09	-0.005043157	-0.00487713
5037	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.941589356	619.187688	BO816_Calving_08	0.074629217	-0.025974145
5037	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.36999512	611.997082	BO816_Calving_08	0.290298547	-0.106655234
5037	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.03717041	618.819917	BO816_Calving_08	0.112153624	-0.055772749
5037	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.460632324	615.73853	BO816_Calving_08	0.005999031	-0.010352098
5037	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.850036621	619.078159	BO816_Calving_08	-0.003634311	0.039679198
5037	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.806335449	615.035178	BO816_Calving_08	-0.018558345	0.00094987
5037	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95916748	614.345732	BO816_Calving_08	-0.039643756	0.015056896
5037	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.34344482	601.293027	BO816_Calving_08	0.02033181	-0.163033002
5037	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.390991211	616.180861	BO816_Calving_08	-0.008965788	0.009457182
5037	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.322875977	618.074845	BO816_Calving_08	0.011443828	0.008980455
5037	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.421691894	616.166932	BO816_Calving_08	0.092329069	-0.073429158
5040	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.347595215	604.453003	BO816_Calving_08	0.075403194	-0.091260247
5040	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.621521	595.950465	BO816_Calving_08	0.3717991	-0.176540562
5040	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.055053711	612.137534	BO816_Calving_08	-0.063979822	0.199614747
5040	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.716674804	606.82309	BO816_Calving_08	0.082211341	-0.012537049
5040	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.13018799	603.414641	BO816_Calving_08	-0.051093872	-0.026942472
5040	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.031860351	608.207482	BO816_Calving_08	0.002497499	-0.003802997
5040	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.326293945	619.466936	BO816_Calving_08	-3.660655271	1.568567123
5040	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.760437011	603.160791	BO816_Calving_08	0.075847289	-0.115264016
5040	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.299072265	606.233387	BO816_Calving_08	0.053023209	-0.047950286
5040	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.558471679	607.962221	BO816_Calving_08	-0.011885411	-0.000140931
5040	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.792358398	607.065892	BO816_Calving_08	0.006522868	-0.016385373
5041	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.429626464	599.79315	BO816_Calving_08	0.060942686	-0.00514574
5041	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.092346191	600.58303	BO816_Calving_08	-0.065578502	0.024488229
5041	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.991271972	599.959763	BO816_Calving_08	-0.081037275	0.019685474
5041	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.350158691	598.136808	BO816_Calving_08	0.085183311	-0.081606654
5041	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.286315917	599.892214	BO816_Calving_08	-0.297342687	0.188543786
5041	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003417968	601.451981	BO816_Calving_08	0.004523717	-0.002643436
5041	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11.48431397	606.082747	BO816_Calving_08	-0.108804412	0.129195231
5041	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7253418	592.539524	BO816_Calving_08	0.212646868	-0.151055743
5041	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.442016602	601.825448	BO816_Calving_08	-0.006733793	0.007670067
5041	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68182373	601.214465	BO816_Calving_08	0.004930699	-0.016432409
5041	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.388427734	601.032174	BO816_Calving_08	-0.02525397	0.001307749
5046	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.334106446	588.009675	BO816_Calving_08	-0.838108751	0.320250535
5046	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20.34301758	596.225594	BO816_Calving_08	0.199411118	0.337573941
5046	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031860352	590.003794	BO816_Calving_08	-0.000661362	-0.000586335
5046	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211547852	589.939323	BO816_Calving_08	-0.031292434	-0.024745741
5046	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099243164	589.99846	BO816_Calving_08	0.011207159	0.011760895
5046	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.020507812	590.037146	BO816_Calving_08	-0.010002612	0.01835546
5046	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11.54882813	594.983551	BO816_Calving_08	-0.306354142	0.225985967
5046	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005432129	590.031603	BO816_Calving_08	0.038186087	0.03839586
5046	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002075196	590.031595	BO816_Calving_08	0.009225445	0.009405195
5046	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031860352	590.003046	BO816_Calving_08	0.001197344	0.001329639
5046	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15.09436035	592.694291	BO816_Calving_08	0.668556228	0.667784078
5047	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.55847168	584.210792	BO816_Calving_08	0.284438422	-0.317980563
5047	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.981567383	582.18857	BO816_Calving_08	-0.061435887	0.088066842
5047	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.353149414	582.841823	BO816_Calving_08	0.02021812	-0.013959113
5047	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.510620117	590.506881	BO816_Calving_08	0.935194889	-0.21242996
5047	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.395996094	582.833317	BO816_Calving_08	-0.003225628	0.03271985
5047	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117675781	582.604654	BO816_Calving_08	-0.003567731	0.004132505
5047	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337768554	582.431552	BO816_Calving_08	-0.007641881	0.005663982
5047	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.321411133	584.307295	BO816_Calving_08	0.11812975	-0.078756145
5047	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.110351563	582.608853	BO816_Calving_08	-0.002798319	0.009979631
5047	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.110351563	582.655968	BO816_Calving_08	0.004071271	0.001611341
5047	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.875366211	582.155214	BO816_Calving_08	-0.04068199	0.037581969
5052	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.680297852	684.04283	BO816_Calving_08	-0.216890583	-0.223781223
5052	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.254272461	679.151731	BO816_Calving_08	0.052661737	0.05314225
5052	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.69262695	627.908346	BO816_Calving_08	0.084134935	0.049062463
5052	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.930297851	680.472673	BO816_Calving_08	0.034455401	0.034556233
5052	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.013244629	682.953341	BO816_Calving_08	-0.023982814	-0.023460238
5052	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.24987793	654.424309	BO816_Calving_08	0.122202508	0.111544471
5052	0	2	N	0	0	1	1	0	0	0	7	0	0	0.409952436	0	0	0.168061	0	0	93.355896	571.001024	BO816_Calving_08	-0.091795919	1.009378328
5052	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.52722168	648.442895	BO816_Calving_08	0.267667099	0.259309244
5052	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.467285156	681.583402	BO816_Calving_08	0.006039549	0.006530229
5052	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.288330078	680.100093	BO816_Calving_08	0.022123824	0.022715391
5052	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.53894043	670.284953	BO816_Calving_08	0.013353607	0.007076266
5056	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.45062256	606.809204	BO816_Calving_08	-0.458556315	-0.49297067
5056	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.382934571	646.429661	BO816_Calving_08	-0.023821213	-0.023517626
5056	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.912902832	646.072276	BO816_Calving_08	0.000575304	0.00065131
5056	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.694580078	647.701644	BO816_Calving_08	-0.479069907	-0.474333422
5056	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.35437012	634.461517	BO816_Calving_08	-0.006431571	-0.007564824
5056	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.96478272	625.270271	BO816_Calving_08	-0.205448618	-0.206903749
5056	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.940673828	647.677895	BO816_Calving_08	-0.046457634	-0.045848855
5056	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.27758789	637.435976	BO816_Calving_08	-0.002464445	-0.003307381
5056	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.14587402	614.939211	BO816_Calving_08	-0.207201432	-0.216508702
5056	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.34967041	649.093804	BO816_Calving_08	0.029202045	0.030326326
5056	0	2	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.729980469	646.357527	BO816_Calving_08	-0.00736081	-0.007050466
5060	1	1	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-45.72833252	667.786727	BO816_Calving_08	-0.142264632	-0.123938595
