farm.ahy;nest.ahy;year.ahy;idbrood.ahy;idadult;exact_age;sex;ext5km.ahy;ext20km.ahy;density.ahy;comp.ahy;farm.hy;nest.hy;year.hy;idbrood.hy;ext5km.hy;ext20km.hy;density.hy;comp.hy;distance;d_fledgling;age_morpho;med_25km;mass
31;10;2010;311020101;235142718;1;F;16.03414805;15.65134972;9;1;36;09;2009;360920091;13.28686907;20.07487076;7;0;26409.64646;175;ASY;17262.0588;21.82
39;03;2009;390320091;222174948;1;F;36.74018204;25.87044216;5;3;37;07;2008;370720081;22.2630641;24.6210215;6;0;9875.752762;173;ASY;11481.42748;21.83
20;05;2012;200520121;235144088;1;F;35.62074343;25.09890936;4;0;29;08;2011;290820111;37.67344536;23.04105758;2;8;7523.278199;186;SY;16428.40356;21.83
16;02;2017;160220171;252188570;2;F;27.8586659;25.77212954;9;0;15;01;2015;150120151;22.75157533;26.58632913;10;0;6971.443593;181;ASY;15144.81953;21.83
22;06;2009;220620091;231195321;1;F;28.91127236;24.59745034;10;0;12;09;2008;120920081;24.08105786;25.54576684;7;0;11508.55455;181;ASY;13201.83258;21.84
16;06;2019;160620191;252188961;2;F;27.8586659;25.77212954;9;0;30;10;2017;301020171;31.75959519;25.14172533;3;5;11743.29225;176;ASY;15005.38112;21.84
16;01;2017;160120171;259196597;3;F;27.8586659;25.77212954;9;0;15;05;2014;150520141;22.75157533;26.58632913;10;0;6971.443593;174;ASY;15144.81953;21.89
21;02;2018;210220181;259196845;4;F;31.42782127;21.74708046;4;0;23;11;2014;231120141;32.18923048;22.92578764;10;0;8520.754045;175;ASY;13201.83258;21.9
28;07;2012;280720122;231195383;3;F;16.5879002;18.32399106;4;5;26;10;2009;261020091;16.94831647;16.35798724;10;0;21986.38407;172;ASY;14566.69253;21.9
24;10;2018;241020181;259197402;4;F;16.25612628;17.43768561;8;0;18;06;2014;180620141;12.40452549;20.34041927;7;0;6929.252094;176;ASY;14411.11138;21.92
28;03;2012;280320121;235143905;2;M;16.5879002;18.32399106;4;5;30;05;2010;300520101;31.75959519;25.14172533;5;5;15016.25455;175;ASY;15005.38112;21.96
38;04;2016;380420161;259196594;2;M;28.18487047;26.72452375;10;0;15;05;2014;150520141;22.75157533;26.58632913;10;0;4278.064402;174;ASY;15144.81953;21.96
15;02;2015;150220151;259196315;2;M;22.75157533;26.58632913;10;0;37;09;2013;370920131;22.2630641;24.6210215;8;0;9446.684914;190;ASY;11481.42748;21.98
15;08;2010;150820101;222174049;3;F;22.75157533;26.58632913;9;0;03;10;2007;031020071;31.15810579;23.31237456;6;0;24917.99842;181;ASY;17308.10554;22
03;07;2015;030720151;259196396;1;M;31.15810579;23.31237456;8;0;09;06;2014;090620141;22.46276494;19.33521372;5;0;9141.240264;175;SY;8537.836182;22.05
29;09;2015;290920151;259197326;1;F;37.67344536;23.04105758;6;4;18;04;2014;180420141;12.40452549;20.34041927;7;0;26226.17308;178;ASY;14411.11138;22.09
15;02;2019;150220191;218161881;1;F;22.75157533;26.58632913;8;0;15;10;2018;151020181;22.75157533;26.58632913;10;0;0;173;ASY;15144.81953;22.1
01;08;2018;010820181;262181670;2;M;29.64483483;23.55032393;6;0;01;07;2016;010720161;29.64483483;23.55032393;8;0;0;181;ASY;17234.7322;22.17
37;02;2011;370220111;235142811;2;F;22.2630641;24.6210215;7;0;18;02;2009;180220091;12.40452549;20.34041927;6;0;40239.69896;174;ASY;14411.11138;22.22
35;09;2015;350920151;259197664;1;M;16.35398765;22.23014005;8;0;07;07;2014;070720142;24.81939406;26.87201755;8;5;22759.47375;187;ASY;14033.38037;22.28
22;08;2016;220820161;259196846;2;M;28.91127236;24.59745034;7;3;23;11;2014;231120141;32.18923048;22.92578764;10;0;4781.509626;175;ASY;13201.83258;22.31
35;04;2010;350420101;222174950;2;F;16.35398765;22.23014005;2;4;37;07;2008;370720081;22.2630641;24.6210215;6;0;15592.84237;173;ASY;11481.42748;22.38
21;01;2016;210120161;252188267;1;F;31.42782127;21.74708046;3;0;12;01;2015;120120151;24.08105786;25.54576684;6;0;19858.73413;182;SY;13201.83258;22.4
40;10;2019;401020191;263183438;1;F;21.99414423;21.00071012;7;0;09;04;2018;090420181;22.46276494;19.33521372;5;0;1976.037067;171;ASY;8537.836182;22.41
21;07;2016;210720161;259197881;2;F;31.42782127;21.74708046;3;0;11;04;2014;110420141;29.97660875;31.27763644;2;0;24490.5641;183;ASY;12465.05281;22.48
37;09;2018;370920181;262181058;2;M;22.2630641;24.6210215;8;0;28;03;2016;280320161;16.5879002;18.32399106;6;0;18342.60623;180;ASY;17666.01669;22.53
35;02;2013;350220131;251170652;1;M;16.35398765;22.23014005;7;0;03;02;2012;030220121;31.15810579;23.31237456;6;0;17308.10554;176;ASY;17308.10554;22.55
18;03;2010;180320101;235143036;1;M;12.40452549;20.34041927;5;0;27;09;2009;270920091;12.89064986;22.12297581;2;5;14411.11138;192;ASY;13405.86285;22.69
15;04;2012;150420122;231195761;3;M;22.75157533;26.58632913;7;0;14;09;2009;140920091;23.97921838;26.97873424;9;0;3992.336771;178;ASY;15424.78796;22.69
15;05;2008;150520081;192111748;1;M;22.75157533;26.58632913;10;0;37;07;2007;370720071;22.2630641;24.6210215;9;0;9446.684914;179;ASY;11481.42748;22.74
38;08;2013;380820132;251171074;1;M;28.18487047;26.72452375;9;0;38;09;2012;380920121;28.18487047;26.72452375;9;0;0;170;ASY;11747.54628;22.89
20;02;2018;200220181;262181274;2;M;35.62074343;25.09890936;5;0;41;15;2016;411520162;;;;0;21453.35717;198;ASY;13405.86285;22.99
31;07;2016;310720161;259197515;2;M;16.03414805;15.65134972;7;3;31;05;2014;310520141;16.03414805;15.65134972;8;1;0;177;ASY;15246.05796;23
38;02;2008;380220082;192111663;1;M;28.18487047;26.72452375;8;0;14;09;2007;140920071;23.97921838;26.97873424;10;0;7638.136141;181;ASY;15424.78796;23.06
12;05;2010;120520101;192111837;3;M;24.08105786;25.54576684;8;0;23;10;2007;231020071;32.18923048;22.92578764;10;0;13201.83258;177;ASY;13201.83258;23.12
20;03;2016;200320161;252188228;1;M;35.62074343;25.09890936;7;0;39;07;2015;390720151;36.74018204;25.87044216;2;6;10226.06557;176;ASY;14717.46666;23.29
05;02;2016;050220161;252188129;1;F;26.19979632;30.6706542;7;0;30;09;2015;300920151;31.75959519;25.14172533;6;3;46704.22494;171;ASY;15005.38112;23.3
16;07;2016;160720161;259197311;2;F;27.8586659;25.77212954;9;0;15;08;2014;150820141;22.75157533;26.58632913;10;0;6971.443593;176;ASY;15144.81953;23.32
40;05;2008;400520081;192112481;1;M;21.99414423;21.00071012;4;0;09;02;2007;090220071;22.46276494;19.33521372;8;0;1976.037067;171;ASY;8537.836182;23.37
22;01;2009;220120091;222175052;1;M;28.91127236;24.59745034;10;0;11;03;2008;110320081;29.97660875;31.27763644;9;0;11285.35142;177;ASY;12465.05281;23.45
11;08;2019;110820191;263183140;1;F;29.97660875;31.27763644;6;0;13;05;2018;130520181;26.66762141;23.23688717;5;0;36482.8263;174;ASY;12304.43984;23.5
16;09;2016;160920161;252188139;1;M;27.8586659;25.77212954;9;0;15;10;2015;151020151;22.75157533;26.58632913;10;0;6971.443593;175;ASY;15144.81953;23.61
24;04;2019;240420191;218161753;1;M;16.25612628;17.43768561;8;0;24;10;2018;241020181;16.25612628;17.43768561;8;0;0;177;ASY;16295.68385;23.66
15;02;2007;150220071;192110729;1;M;22.75157533;26.58632913;10;0;14;08;2006;140820061;23.97921838;26.97873424;10;0;3992.336771;177;ASY;15424.78796;23.72
37;02;2018;370220181;259197496;3;M;22.2630641;24.6210215;8;0;16;01;2015;160120151;27.8586659;25.77212954;9;0;6851.435839;171;ASY;14797.66724;23.78
12;07;2010;120720101;231195872;1;M;24.08105786;25.54576684;8;0;11;07;2009;110720091;29.97660875;31.27763644;7;0;12465.05281;173;ASY;12465.05281;23.88
27;10;2010;271020101;192111831;3;M;12.89064986;22.12297581;2;5;20;09;2007;200920071;35.62074343;25.09890936;6;3;9546.5315;178;ASY;16535.47537;23.97
14;07;2019;140720191;263183382;1;M;23.97921838;26.97873424;9;0;21;03;2018;210320181;31.42782127;21.74708046;4;0;44960.70389;176;SY;12779.44776;23.99
04;10;2013;041020131;251170269;1;M;30.24791547;23.32669628;9;1;04;03;2012;040320121;30.24791547;23.32669628;8;0;0;170;ASY;11349.90591;24.01
29;09;2010;290920101;231195722;1;M;37.67344536;23.04105758;3;5;20;10;2009;201020091;35.62074343;25.09890936;6;2;7523.278199;174;ASY;16535.47537;24.14
13;07;2010;130720101;235142803;1;M;26.66762141;23.23688717;7;0;13;09;2009;130920091;26.66762141;23.23688717;7;0;0;175;ASY;12304.43984;24.16
30;02;2007;300220071;192110297;1;M;31.75959519;25.14172533;9;0;37;09;2006;370920061;22.2630641;24.6210215;9;0;5027.730289;173;ASY;11481.42748;24.23
04;07;2013;040720132;251170881;1;M;30.24791547;23.32669628;9;1;04;08;2012;040820121;30.24791547;23.32669628;8;0;0;170;ASY;11349.90591;24.26
37;07;2010;370720101;222174195;3;F;22.2630641;24.6210215;8;1;38;07;2007;380720072;28.18487047;26.72452375;9;0;5474.569048;189;SY;11747.54628;24.5
23;03;2012;230320121;235144644;2;M;32.18923048;22.92578764;9;0;22;09;2010;220920101;28.91127236;24.59745034;9;0;4781.509626;176;ASY;11396.95299;24.66
23;05;2015;230520151;259196777;1;M;32.18923048;22.92578764;10;0;22;07;2014;220720141;28.91127236;24.59745034;9;0;4781.509626;177;ASY;11396.95299;24.7
14;06;2018;140620181;262181881;1;M;23.97921838;26.97873424;7;0;14;03;2017;140320171;23.97921838;26.97873424;5;0;0;180;ASY;15424.78796;24.81
22;07;2015;220720151;259196417;2;F;28.91127236;24.59745034;7;3;09;03;2013;090320131;22.46276494;19.33521372;5;0;48511.82186;178;SY;8537.836182;24.82
15;02;2017;150220171;252188131;2;M;22.75157533;26.58632913;10;0;30;09;2015;300920151;31.75959519;25.14172533;6;3;12437.48718;171;ASY;15005.38112;24.89
01;02;2009;010220091;222174022;2;F;29.64483483;23.55032393;10;0;02;07;2007;020720071;28.38934504;24.83714019;7;4;14478.27221;180;ASY;14478.27221;24.92
24;07;2010;240720101;231195214;2;M;16.25612628;17.43768561;9;0;30;10;2008;301020081;31.75959519;25.14172533;7;3;41977.0867;181;ASY;15005.38112;24.97
32;07;2018;320720181;252188052;3;M;20.96063268;18.54622633;7;0;31;04;2015;310420151;16.03414805;15.65134972;8;2;17448.83298;174;ASY;15246.05796;25.1
17;02;2005;170220051;188197496;1;F;20.97018013;22.42955008;8;3;36;05;2004;360520041;13.28686907;20.07487076;4;0;17221.76638;177;ASY;17262.0588;
20;05;2005;200520051;188197589;1;F;35.62074343;25.09890936;9;2;34;04;2004;340420041;23.22815225;27.3220079;6;1;10221.94427;182;ASY;19888.12213;22.3
20;08;2005;200820051;188197538;1;F;35.62074343;25.09890936;9;2;29;05;2004;290520041;37.67344536;23.04105758;6;0;7523.278199;176;ASY;16428.40356;
27;09;2005;270920051;188197404;1;F;12.89064986;22.12297581;8;4;30;04;2004;300420041;31.75959519;25.14172533;5;3;21712.48922;176;ASY;15005.38112;
06;10;2006;061020061;192110007;1;F;43.05979887;27.67025439;8;2;06;08;2005;060820051;43.05979887;27.67025439;6;3;0;186;ASY;18091.20941;21.36
07;06;2006;070620061;188198342;1;M;24.81939406;26.87201755;9;4;07;02;2005;070220051;24.81939406;26.87201755;7;2;0;178;ASY;14033.38037;17
16;04;2006;160420062;188198967;1;M;27.8586659;25.77212954;8;0;37;09;2005;370920051;22.2630641;24.6210215;9;0;6851.435839;187;SY;11481.42748;20.6
16;05;2006;160520061;188197443;2;F;27.8586659;25.77212954;8;0;15;02;2004;150220041;22.75157533;26.58632913;8;0;6971.443593;173;ASY;15144.81953;
16;08;2006;16082006;188198369;1;F;27.8586659;25.77212954;8;0;38;09;2005;380920051;28.18487047;26.72452375;9;0;6286.947828;179;ASY;11747.54628;15.7
17;08;2006;170820061;188198714;1;M;20.97018013;22.42955008;5;5;10;08;2005;100820051;24.67777353;18.78889987;7;1;12881.00689;182;ASY;19369.37372;22
19;10;2006;191020061;188197645;2;M;24.98567882;22.25977805;5;5;35;03;2004;350320041;16.35398765;22.23014005;3;0;9355.027117;177;ASY;18739.30861;21.7
21;01;2006;210120062;192110127;1;M;31.42782127;21.74708046;7;0;21;05;2005;210520051;31.42782127;21.74708046;4;0;0;186;ASY;12779.44776;24.1
23;05;2006;230520061;188197653;2;F;32.18923048;22.92578764;9;0;06;06;2004;060620041;43.05979887;27.67025439;6;0;29445.13558;184;ASY;18091.20941;
28;01;2006;280120061;188198782;1;F;16.5879002;18.32399106;4;0;29;08;2005;290820051;37.67344536;23.04105758;9;2;11494.22997;189;ASY;16428.40356;19.82
34;03;2006;340320062;192110078;1;F;23.22815225;27.3220079;6;3;34;01;2005;340120051;23.22815225;27.3220079;7;3;0;187;ASY;19888.12213;
35;06;2006;350620061;188197534;2;M;16.35398765;22.23014005;8;1;29;01;2004;290120041;37.67344536;23.04105758;6;0;27242.9086;176;ASY;16428.40356;
35;08;2006;350820061;188198608;1;F;16.35398765;22.23014005;8;1;35;03;2005;350320051;16.35398765;22.23014005;6;0;0;177;ASY;18739.30861;22.62
36;08;2006;360820062;188198490;1;M;13.28686907;20.07487076;10;1;36;04;2005;360420051;13.28686907;20.07487076;8;0;0;177;ASY;17262.0588;24.19
36;09;2006;360920061;188198195;1;M;13.28686907;20.07487076;10;1;19;05;2005;190520051;24.98567882;22.25977805;5;2;9336.920219;177;ASY;16407.35196;23
39;02;2006;390220061;188197832;2;M;36.74018204;25.87044216;10;0;29;08;2004;290820041;37.67344536;23.04105758;6;0;7127.389491;196;ASY;16428.40356;24.7
05;05;2007;050520071;192110811;1;M;26.19979632;30.6706542;9;0;05;08;2006;050820061;26.19979632;30.6706542;10;0;0;175;ASY;18250.07972;26.63
