variable	NW	SHIFT	SW	all	rank_all
ndvi_aug	0.045702003	0.034142123	0.008282204	0.013566846	4
ndvi_sep	0.028190964	0.012865267	0.005810447	0.008512503	8
ndvi_oct	0.028402113	0.024791233	0.01233386	0.014673047	3
popRFH	0.08438873	0.118006494	0.02968307	0.040136717	2
popRGH	0.276183914	0.327809316	0.099670446	0.130077519	1
st_sep	0.008440948	-0.001991954	0.009393925	0.008654745	5
st_oct	0.019360735	0.030788911	0.003802261	0.006851834	8
swe_sep	0.002732867	0.019539989	0.002895294	0.003795169	11
swe_oct	0.03444647	0.010448177	0.003876782	0.007351091	7
pcp_sep	0.010710745	0.000744843	0.003400427	0.003996839	10
pcp_oct	0.00158808	-0.001204814	0.005291783	0.004564049	9
ndvi_jul	0.001287071	0.014456955	0.002874044	0.003349518	12
ndvi_aug	0.044296225	0.036828562	0.006287441	0.011834049	4
ndvi_sep	0.027187233	0.014002892	0.005584106	0.008259781	6
ndvi_oct	0.024451269	0.030343967	0.014310883	0.016255461	3
popRFH	0.143483324	0.057842824	0.033490699	0.046068045	2
popRGH	0.249202759	0.337177651	0.112272857	0.1384311	1
st_sep	0.007906709	-0.00326336	0.009972879	0.009035348	5
st_oct	0.023858253	0.033165432	0.004825399	0.008294056	6
swe_sep	0.002959564	0.019178247	0.002779334	0.003684675	11
swe_oct	0.034725732	0.011425157	0.004387543	0.00783482	8
pcp_sep	0.012417199	0.000338115	0.003069201	0.003893876	10
pcp_oct	0.001528645	-0.001596451	0.005613813	0.004787217	9
ndvi_jul	0.00235152	0.014924064	0.002951213	0.003547433	12
ndvi_aug	0.041647675	0.037379623	0.006666754	0.011941265	4
ndvi_sep	0.028183984	0.013414907	0.005554676	0.008289727	7
ndvi_oct	0.029590471	0.028118289	0.012358725	0.01500507	3
popRFH	0.140227824	0.053429926	0.031665893	0.04396671	2
popRGH	0.245639867	0.33177125	0.110610815	0.136334501	1
st_sep	0.007355778	-0.004072807	0.009628155	0.008639254	6
st_oct	0.023033342	0.034049071	0.00419861	0.007751165	7
swe_sep	0.004737307	0.0161392	0.003080771	0.003994932	11
swe_oct	0.037430748	0.007332685	0.003402369	0.00705859	8
pcp_sep	0.013011838	0.002331189	0.003496908	0.004411867	10
pcp_oct	0.002169133	-0.001790907	0.005922135	0.005116885	9
