idanimal	herd	year	dwin	ewin	x	y	cluster
2008036	2	2012	40887	41012	-319388.0143	1280025.564	1
2008037	2	2009	39783	39928	-356875.9608	1047167.246	1
2008038	2	2009	39778	39928	-395838.5353	1084071.96	1
2008039	2	2009	39778	39928	-487388.9366	1178929.243	1
2008040	2	2009	39783	39923	-525869.3984	1129448.631	1
2008041	2	2009	39793	39923	-384900.8366	1147859.808	1
2008041	2	2012	40880	40995	-387839.83	1251681.865	1
2008042	2	2009	39783	39928	-502982.8098	1168494.466	1
2008042	2	2010	40138	40268	-528474.5531	1097800.909	1
2008042	2	2011	40528	40663	-438943.1016	1229716.069	1
2008043	2	2009	39788	39943	-418401.2066	1071323.279	1
2008043	2	2010	40123	40273	-517605.592	1069280.712	1
2008043	2	2012	40886	40986	-443619.2037	1243809.792	1
2008044	2	2009	39788	39943	-377877.9532	1138707.862	1
2008045	2	2009	39793	39933	-431792.0126	1133327.926	1
2008045	2	2010	40128	40273	-524128.3595	1088396.97	1
2008046	2	2009	39783	39923	-527141.0831	1162783.376	1
2008046	2	2010	40128	40273	-520637.7585	1099604.609	1
2008046	2	2012	40881	40996	-293956.013	1202055.834	1
2009003	2	2012	40886	40991	-501585.4457	1215833.557	1
2009023	2	2010	40139	40269	-455913.2207	1031419.864	1
2009025	2	2012	40886	41036	-448153.8575	1191632.442	1
2009057	1	2010	40140	40315	388739.9581	1043148.108	1
2009058	1	2010	40142	40267	404206.8936	1136407.479	1
2009060	1	2010	40131	40271	407326.4583	1057900.194	1
2009060	1	2011	40516	40669	417462.5598	1094280.891	1
2009060	1	2012	40897	41029	74914.22728	1422251.902	3
2009061	1	2010	40127	40267	384246.0365	1213305.398	1
2009062	1	2010	40150	40285	454370.8665	1117663.118	1
2009064	1	2010	40137	40272	406200.1151	1066358.501	1
2009064	1	2011	40512	40647	476022.9349	1134770.329	1
2009068	2	2010	40126	40271	-562857.1872	1083750.991	1
2009069	2	2010	40136	40271	-516047.7203	1102039.849	1
2009069	2	2011	40516	40656	-456118.2129	1214152.704	1
2009069	2	2012	40881	41016	-326325.9003	1280298.861	1
2009070	2	2010	40137	40272	-503048.1142	1063217.09	1
2009070	2	2011	40527	40662	-426308.2228	1219208.918	1
2009070	2	2012	40872	40992	-326805.1999	1244494.758	1
2009071	2	2010	40131	40271	-491341.9189	1072262.722	1
2009071	2	2011	40526	40661	-418361.9821	1243777.188	1
2009071	2	2012	40871	40998	-397051.3655	1258042.296	1
2009076	2	2010	40140	40270	-490098.2314	1063196.571	1
2009076	2	2011	40525	40665	-443138.3403	1177449.948	1
2009079	2	2012	40890	40985	-480453.3027	1241509.05	1
2009080	2	2010	40142	40267	-536569.7411	1061612.926	1
2009080	2	2011	40527	40662	-437317.9271	1216104.582	1
2009081	2	2010	40140	40270	-531985.2385	1076846.902	1
2009081	2	2011	40515	40660	-491612.9771	1154278.804	1
2009082	1	2012	40889	41038	428208.1241	1100117.754	1
2009085	1	2010	40151	40286	437577.2246	1115756.389	1
2009085	1	2011	40516	40666	468470.3714	1108508.533	1
2009085	1	2012	40896	41028	79544.975	1365794.485	3
2009088	1	2012	40897	41039	83994.73897	1331274.153	3
2009089	1	2010	40131	40286	357197.9705	1213450.458	1
2009092	1	2010	40146	40286	430222.6013	1113666.001	1
2009092	1	2011	40516	40666	427636.9556	1079475.682	1
2009093	1	2010	40147	40302	475345.2512	1124469.088	1
2009094	2	2012	40872	41012	-231662.6076	1293152.575	1
2009096	2	2012	40887	40988	-330383.4981	1287319.137	1
2010005	1	2012	40895	41026	106744.1728	1378445.216	3
2010010	2	2011	40524	40664	-433608.0908	1188325.826	1
2010017	2	2011	40525	40660	-418484.47	1216413.788	1
2010017	2	2012	40890	41010	-277428.1447	1303791.335	1
2010022	2	2012	40889	40997	-340038.8189	1243977.742	1
2010026	2	2012	40887	40998	-378604.6056	1236141.307	1
2010028	2	2011	40526	40661	-436074.2897	1209550.622	1
2010028	2	2012	40871	40986	-318059.4083	1258187.262	1
2010031	2	2011	40526	40651	-425367.0291	1228072.508	1
2010031	2	2012	40871	41001	-330970.9972	1261467.38	1
2010032	2	2011	40525	40655	-431152.1085	1213102.918	1
2010033	2	2011	40530	40665	-529142.5941	1202386.681	1
2010034	2	2011	40515	40660	-427188.1968	1191415.565	1
2010036	2	2011	40505	40660	-436324.9045	1229553.466	1
2010036	2	2012	40890	40995	-366342.684	1274894.235	1
2010039	1	2011	40514	40649	478308.2925	1132523.885	1
2010045	1	2011	40499	40624	308161.477	1227561.686	1
2010054	1	2011	40514	40654	428835.563	1066901.766	1
2010054	1	2012	40904	41024	71578.10664	1396834.64	3
2010055	1	2011	40489	40639	310692.8292	1235570.003	1
2010057	1	2011	40519	40664	425937.0538	1068428.466	1
2010059	1	2011	40516	40652	428345.7527	1072969.376	1
2010060	1	2011	40512	40664	471228.0641	1130195.471	1
2010060	1	2012	40876	41008	194557.1495	1244732.519	3
2010064	2	2011	40527	40669	-449906.7733	1234386.224	1
2010068	2	2011	40512	40662	-470745.0437	1175864.312	1
2010068	2	2012	40882	40998	-465713.0246	1235916.631	1
2010069	2	2011	40527	40662	-434084.6736	1216574.256	1
2010069	2	2012	40868	40993	-297431.3748	1287858.832	1
2010070	2	2011	40492	40662	-456384.6246	1209835.139	1
2010071	2	2012	40869	41009	-259662.7235	1301821.261	1
2010074	2	2011	40527	40662	-429355.8611	1211547.03	1
2010074	2	2012	40869	40994	-309480.3006	1283810.712	1
2010075	2	2011	40522	40662	-440977.0709	1209422.379	1
2010077	2	2011	40520	40660	-532379.417	1188660.029	1
2011002	2	2012	40886	40989	-412267.5083	1212157.99	1
2011003	2	2012	40886	40996	-380318.7224	1258091.196	1
2011005	2	2012	40871	41036	-308626.3276	1302559.986	1
2011006	2	2012	40871	41036	-328325.5954	1274216.752	1
2011027	2	2012	40883	40993	-402643.6654	1247008.622	1
2011028	2	2012	40888	41008	-308503.1991	1313443.007	1
2011029	2	2012	40888	40988	-422313.471	1091912.943	1
2011032	2	2012	40889	40984	-431958.9372	1227846.935	1
2011033	2	2012	40889	40994	-346837.2085	1272133.795	1
2011034	2	2012	40889	40989	-353694.2894	1262209.648	1
2011037	2	2012	40890	40970	-548123.601	1224974.472	1
2011038	2	2012	40894	40974	-271476.8332	1282999.423	1
2011040	2	2012	40883	40998	-388688.6627	1238952.11	1
2011041	2	2012	40869	40994	-284948.884	1288979.203	1
2011042	2	2012	40882	40992	-312292.3238	1190419.15	1
2011043	2	2012	40888	40993	-308621.7929	1296086.43	1
2011044	2	2012	40885	41025	-294695.597	1298390.975	1
2011045	2	2012	40884	40994	-343205.1994	1265932.849	1
2011046	2	2012	40900	40995	-396395.7979	1156652.196	1
2011047	2	2012	40888	40993	-375189.3219	1250355.495	1
2011049	1	2012	40882	41032	127435.4109	1233892.769	3
2011050	1	2012	40897	41027	67817.04317	1390599.462	3
2011051	1	2012	40895	41025	83520.63578	1391545.603	3
2011052	1	2012	40907	41032	79400.75478	1407167.166	3
2011053	1	2012	40907	41022	83267.09109	1389548.788	3
2011054	1	2012	40887	41002	90072.30035	1345911.367	3
2011058	1	2012	40890	41030	86950.27561	1395617.638	3
91031101	1	1992	33630	33687	-358619.8208	1644021.559	4
91031102	1	1993	33903	34105	372132.5014	1349590.853	1
91031104	1	1992	33599	33742	-53517.50349	1283491.834	3
91031104	1	1993	33908	34053	499384.9756	1191705.719	1
91031104	1	1994	34223	34473	-2682.664538	1267574.698	3
91031104	1	1995	34669	34820	-165446.9485	1054554.809	2
91051104	1	1992	33576	33740	-241525.7564	1073227.098	2
91051105	1	1992	33583	33742	-245611.5584	1018851.403	2
91051105	1	1993	33949	34105	-431845.0304	1731138.813	4
91051106	1	1992	33597	33625	-316236.2534	1328201.654	2
91051106	1	1992	33663	33729	-89720.73331	1658181.268	4
91051106	1	1993	33930	34100	376386.9982	1384982.003	1
92081110	1	1993	33910	34110	391868.176	1386839.103	1
92081110	1	1994	34320	34450	-424743.0526	1631814.788	4
92081110	1	1995	34679	34824	401103.8877	1445373.511	1
92081110	1	1996	35053	35184	386570.5799	1260940.942	1
92081116	2	1993	33940	34075	-122646.1206	1805674.042	2
92081121	1	1993	33945	34095	395171.2711	1345477.762	1
92081121	1	1994	34285	34435	453646.641	1347919.769	1
92081123	1	1993	33930	34105	399841.6641	1297949.06	1
92081123	1	1994	34310	34470	-531090.0555	1057990.131	2
93031104	1	1994	34293	34452	457728.7332	1353332.168	1
93031104	1	1995	34673	34818	-165798.7498	1031307.961	2
93031104	1	1996	35081	35185	93668.27357	1136920.488	3
93031104	1	1997	35387	35522	10896.88961	1122015.621	3
93031104	1	1998	35777	35902	415327.0094	1322725.335	1
93031104	1	1999	36160	36250	-453857.2186	1260738.716	2
93031104	1	2000	36495	36660	114224.5862	1153578.306	3
93031104	1	2001	36910	37010	-161760.7165	1278630.12	2
93031104	1	2002	37250	37375	179257.0731	1065990.169	3
93071202	2	1994	34327	34437	-516353.3723	1746914.039	2
93071202	2	1995	34672	34817	-389028.2201	1296414.552	1
93071202	2	1996	35062	35182	-417745.9293	1879913.484	2
93071203	2	1994	34337	34407	-172915.2719	1862262.809	2
93071204	2	1994	34307	34432	-106117.0767	1750412.5	2
93071204	2	1996	35027	35192	-141920.4262	1613409.966	2
93071204	2	1997	35372	35542	-306623.1181	1215042.545	1
93071204	2	1998	35787	35897	-255701.4334	970594.7584	1
93071204	2	1999	36192	36252	-425615.4526	1770711.702	2
93071205	2	1994	34297	34467	-120656.618	1667187.076	2
93071205	2	1995	34692	34812	-475481.0259	1872068.644	2
93071205	2	1996	35032	35147	-135838.3826	1704471.357	2
93071205	2	1998	35752	35842	-394359.1096	1283252.943	1
