SSMB2057	,	163167	201229	228240	298338	319335	172188	329369	182182
SSMB2058	,	175179	205241	270286	350370	283315	174204	285313	202206
SSMB2059	,	167179	209225	290290	294318	311319	170174	289329	162198
SSMB2060	,	167171	197225	266270	294354	307307	174206	277309	190194
SSMB2061	,	163183	201213	244264	294342	335343	170172	281317	194198
SSMB2062	,	167167	209225	240278	334338	291343	174192	333357	174198
SSMB2063	,	163167	189217	162278	330370	303315	172200	309313	190194
SSMB2065	,	167179	225241	278282	326334	315335	172192	313333	198202
SSMB2066	,	191199	193225	252270	322362	307315	172204	373385	190198
SSMB2067	,	167167	197225	162278	334354	295335	174192	293297	198198
SSMB2068	,	151179	209245	158224	346354	311319	162206	309329	170206
SSMB2069	,	179195	205209	224290	326342	283327	158172	309329	198202
SSMB2070	,	159175	189209	278290	314334	291319	170200	317329	190194
SSMB2071	,	163179	201245	252260	346374	307307	204206	317329	182190
SSMB2072	,	155175	169217	252260	302318	307339	174188	297377	186194
SSMB2073	,	163163	173237	162252	326338	291323	170172	285309	170194
SSMB2074	,	175179	125213	236252	318330	267307	188204	325329	194202
SSMB2075	,	151179	121189	228262	290346	295315	200204	309317	198198
SSMB2076	,	151167	189189	162262	290330	295315	172200	309313	190194
SSMB2077	,	167167	213241	162224	334358	307311	192206	329337	202206
SSMB2079	,	167175	181181	270274	338342	283307	158196	313377	186194
SSMB2080	,	151167	169181	252290	318334	315375	170206	313329	182198
SSMB2081	,	163191	169205	236252	318334	315319	192204	357377	194198
SSMB2082	,	167195	209217	246274	330386	295339	170174	297357	174186
SSMB2083	,	167179	209225	158278	334338	307331	174206	273297	170182
SSMB2084	,	151195	205245	252286	318346	355359	172192	297377	186194
SSMB2085	,	163195	201229	158274	302346	315319	196206	285313	182198
SSMB2086	,	167195	189265	174270	334366	295315	158206	309313	194194
SSMB2087	,	191191	205245	162214	318334	307315	174204	281329	190190
SSMB2088	,	167175	217233	252274	326330	335343	170206	325325	194202
SSMB2089	,	167167	209245	166260	354374	303319	174174	293321	194198
SSMB2090	,	167167	201233	162266	326334	275355	172204	329353	190194
SSMB2091	,	147163	181213	252270	346366	287315	170188	313325	190194
SSMB2092	,	163179	225241	206278	346366	295307	174174	333341	182198
SSMB2095	,	163195	197241	174286	326342	335339	170188	313369	182182
SSMB2096	,	159159	185209	278286	322334	291299	174200	313329	190194
SSMB2097	,	195199	241245	252260	302342	311335	172188	313325	198198
SSMB2098	,	167175	181205	270274	350354	283335	174204	285313	182182
SSMB2100	,	139147	209221	252254	326330	267307	202204	325329	194202
SSMB2101	,	159175	201205	270286	298370	311315	174204	313329	182202
SSMB2102	,	139139	189213	214256	310318	307327	172196	313317	198198
SSMB2103	,	163175	189213	236242	314330	295319	172204	317341	190194
SSMB2104	,	167175	241245	214260	310346	307311	158170	313329	190198
SSMB2105	,	159199	209245	166274	294314	327335	158172	277293	170198
SSMB2106	,	163167	173249	252274	326342	291315	170172	285313	170182
SSMB2107	,	167175	225229	174214	346374	307327	172192	357377	174194
SSMB2108	,	179179	217225	162278	346358	283299	188200	317377	190194
SSMB2109	,	167175	125205	162214	326346	315343	200204	313325	194194
SSMB2110	,	147199	197209	244264	326342	267343	172206	317325	194194
SSMB2111	,	175223	213245	214270	334350	299315	170172	313329	194198
SSMB2112	,	163195	181221	162242	342358	315327	172206	337353	182198
SSMB2113	,	163195	189205	162214	314334	275315	172174	337353	182198
SSMB2114	,	159175	197245	252274	310346	315335	170172	329369	182198
SSMB2115	,	159167	217225	270278	326334	315335	192200	297313	182194
SSMB2116	,	167195	209249	162224	294326	307311	162206	297329	186198
SSMB2117	,	175195	189221	242290	314334	275303	188206	317337	194202
SSMB2118	,	179183	197225	162274	326342	275335	170192	329369	182198
SSMB2119	,	147175	205213	162162	330346	319343	158206	317333	194194
SSMB2121	,	159159	205209	170290	322334	299307	170200	317329	194194
SSMB2123	,	167167	189189	260260	326330	295311	170204	325353	190194
SSMB2124	,	175179	209221	236252	326330	267307	188204	329329	194202
SSMB2125	,	167191	189229	162260	378386	315339	158174	317365	186198
SSMB2126	,	163167	129181	214298	334358	315323	170174	313341	190202
SSMB2128	,	151191	225241	174256	314370	315315	172182	285285	194202
SSMB2130	,	163179	197209	166228	298342	311327	172204	277313	194202
SSMB2131	,	179191	185197	166218	298310	283307	170204	329377	170194
SSMB2132	,	163175	181181	252270	298370	311315	170172	321329	206206
SSMB2133	,	167171	177177	154216	314358	255303	158170	309345	186190
SSMB2134	,	175195	185241	252260	334346	311315	158170	313329	190190
SSMB2136	,	155179	205213	252286	318346	307311	172192	325377	190194
SSMB2137	,	151167	169181	252290	318334	315375	170206	313329	182198
SSMB2138	,	151167	201245	162266	342354	307315	172174	305309	186198
SSMB2139	,	151179	121217	228262	290330	303315	200204	317321	194194
SSMB2140	,	167195	189265	174270	334366	295315	158206	309313	194194
SSMB2141	,	159183	205209	170290	314330	299307	174200	313337	190206
SSMB2142	,	159175	197209	252274	302346	307335	172188	289325	198202
SSMB2143	,	163163	201217	228256	326354	311315	174174	349365	182194
SSMB2144	,	175199	205245	252274	346350	283335	172204	313369	182182
SSMB2145	,	163167	229241	158162	330342	311315	170184	325361	190190
SSMB2146	,	155155	213245	214252	298374	263307	204206	329345	190198
SSMB2147	,	167175	169217	252252	318386	315315	174206	297313	186198
